time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/clip_range,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/learning_rate,train/value_loss,train/explained_variance,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_ep_length,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_object_reward
2,1,1024,461,,,,,,,,,,,,,,,,
4,2,2048,453,0.09997952,4,-1.7898560836911201,-0.0047506390837952495,0.0032293121,0.026351293548941612,0.0002499488,0.2509371666237712,-0.024586796760559082,0.0625,,,,,,
5,3,3072,555,0.09995904,8,-1.7883349433541298,-0.0011896991054527462,0.0007622113,0.027974030002951622,0.0002498976,0.11343147326260805,0.001531362533569336,0.0,,,,,,
6,4,4096,626,0.09993856000000001,12,-1.7885384038090706,-0.0013381826865952462,0.0008526988,0.029892250895500183,0.0002498464,0.12300782045349479,0.003136754035949707,0.0,,,,,,
7,5,5120,677,0.09991808,16,-1.786634773015976,-0.001607585872989148,0.0017859564,0.03608473390340805,0.0002497952,0.13391325157135725,0.003572702407836914,0.0,,,,,,
8,6,6144,717,0.0998976,20,-1.777845822274685,-0.0007899462943896651,0.0025682356,0.04939637333154678,0.000249744,0.12645095493644476,0.00817042589187622,0.063720703125,,,,,,
9,7,7168,745,0.09987712,24,-1.7802086770534515,-0.0018895554239861667,0.0021639154,0.049827419221401215,0.0002496928,0.124392444267869,0.013266801834106445,0.0615234375,-20.75,3389.0,,,,
10,8,8192,769,0.09985664,28,-1.7800560891628265,-0.0006550144462380558,0.0014361467,0.038903944194316864,0.0002496416,0.09844027180224657,-0.04506397247314453,0.0224609375,-20.4,3499.6,,,,
11,9,9216,790,0.09983616000000001,32,-1.7788027748465538,-0.0015633687726221979,0.0014618756,0.03447657823562622,0.0002495904,0.10296445898711681,0.013062238693237305,0.055419921875,-20.333333333333332,3648.0,,,,
12,10,10240,806,0.09981568,36,-1.7808665111660957,-0.0002004588022828102,0.0005405528,0.034508295357227325,0.00024953919999999997,0.09521713061258197,0.042509377002716064,0.0,-19.875,3935.875,,,,
13,11,11264,821,0.0997952,40,-1.7786994203925133,-0.0023441665980499238,0.0013227435,0.048322319984436035,0.00024948799999999997,0.12316918233409524,0.07474851608276367,0.0,-19.875,3935.875,,,,
14,12,12288,834,0.09977472,44,-1.7687298357486725,-0.0017479198286309838,0.0022756504,0.028998449444770813,0.0002494368,0.10873149149119854,0.053996503353118896,0.030517578125,-19.875,3935.875,,,,
15,13,13312,845,0.09975424000000001,48,-1.7645730823278427,-0.002979286975460127,0.003192057,0.029279716312885284,0.0002493856,0.11224237643182278,0.08954131603240967,0.07080078125,-20.0,3846.4444444444443,,,,
17,14,14336,840,0.09973376,52,-1.7725121825933456,-0.0013817072904203087,0.0026571534,0.039484746754169464,0.0002493344,0.10992974322289228,0.09925276041030884,0.080078125,-20.0,3850.3636363636365,,,,
18,15,15360,849,0.09971328000000002,56,-1.7758753076195717,-0.0003630832361523062,0.0012701061,0.0321003720164299,0.0002492832,0.08485352760180831,0.1864977478981018,0.0,-20.076923076923077,3834.6153846153848,,,,
19,16,16384,857,0.09969280000000001,60,-1.7665248736739159,-0.002015715406741947,0.0025323709,0.038378965109586716,0.000249232,0.09086446417495608,0.13700348138809204,0.038330078125,-20.133333333333333,3781.733333333333,,,,
20,17,17408,864,0.09967232000000001,64,-1.7610188201069832,-0.0004850653640460223,0.00091974624,0.04255843162536621,0.0002491808,0.11730829114094377,0.006698906421661377,0.0,-20.125,3775.0625,,,,
21,18,18432,871,0.09965184,68,-1.7607296034693718,-0.001817320560803637,0.0018088985,0.029359744861721992,0.0002491296,0.09284072043374181,0.14007484912872314,0.038330078125,-20.125,3775.0625,,,,
22,19,19456,877,0.09963136,72,-1.7511425241827965,-0.0016332411905750632,0.0020945128,0.033732715994119644,0.0002490784,0.10484365979209542,0.15300244092941284,0.094482421875,-20.125,3775.0625,,,,
23,20,20480,883,0.09961088000000001,76,-1.7459542527794838,-0.0008842513780109584,0.0010983443,0.014445642940700054,0.0002490272,0.08287408808246255,0.2802925109863281,0.00146484375,-20.125,3775.0625,,,,
24,21,21504,888,0.09959040000000001,80,-1.7520954832434654,-0.0011444022820796818,0.0010223712,0.017039084807038307,0.000248976,0.07147142291069031,0.3007305860519409,0.0,-20.166666666666668,3766.4444444444443,,,,
25,22,22528,893,0.09956992,84,-1.759609878063202,-0.001577563351020217,0.0024590106,0.05116058886051178,0.00024892480000000003,0.14811360836029053,0.2573944926261902,0.045654296875,-20.157894736842106,3759.157894736842,,,,
26,23,23552,896,0.09954944,88,-1.757195346057415,-0.00022618932416662574,0.0014446318,0.01439967192709446,0.00024887360000000003,0.0727580995298922,0.5180811882019043,0.000732421875,-20.181818181818183,3794.9545454545455,,,,
27,24,24576,900,0.09952896,92,-1.754863202571869,0.00027033407241106033,0.0011141608,0.014178453013300896,0.0002488224,0.07568933395668864,0.432282030582428,0.01513671875,-20.217391304347824,3804.5652173913045,,,,
,,25000,,0.09950848000000001,96,-1.7607124522328377,-0.002024743123911321,0.0025756601,0.06255774199962616,0.0002487712,0.12130397884175181,0.20134711265563965,0.068359375,,,3056.0,3056.0,-21.0,-1.0866668000000002
40,25,25600,624,,,,,,,,,,,-20.208333333333332,3816.9166666666665,,,,
42,26,26624,633,0.09948800000000001,100,-1.7664099857211113,-0.0012955082347616553,0.0018050415,0.008795039728283882,0.00024872,0.06389393168501556,0.4706239700317383,0.031982421875,-20.208333333333332,3816.9166666666665,,,,
43,27,27648,642,0.09946752,104,-1.767871506512165,-0.0002522717113606632,0.00067357183,-0.005047934129834175,0.0002486688,0.03735553892329335,0.6729423999786377,0.0,-20.208333333333332,3816.9166666666665,,,,
44,28,28672,650,0.09944704,108,-1.7697221338748932,-0.00040483100747223943,0.00054086384,-0.010265979915857315,0.0002486176,0.03207687009125948,0.6768090724945068,0.0,-20.26923076923077,3802.3846153846152,,,,
45,29,29696,658,0.09942656,112,-1.7645888552069664,-0.0015885434113442898,0.0030924038,-0.000616811215877533,0.0002485664,0.03793577919714153,0.7423168420791626,0.095947265625,-20.275862068965516,3756.9310344827586,,,,
46,30,30720,666,0.09940608000000001,116,-1.7553385347127914,-0.002323856926523149,0.0032029294,-0.0011291839182376862,0.0002485152,0.048436209093779325,0.7344132661819458,0.10302734375,-20.29032258064516,3723.6451612903224,,,,
47,31,31744,673,0.0993856,120,-1.7574724107980728,-0.0010522327793296427,0.0020410381,0.0068070534616708755,0.000248464,0.07282297126948833,0.5445239543914795,0.104736328125,-20.29032258064516,3723.6451612903224,,,,
48,32,32768,680,0.09936512,124,-1.7370977997779846,-0.0009891955996863544,0.0018963884,0.02602221444249153,0.0002484128,0.07648022659122944,0.33454835414886475,0.0673828125,-20.28125,3711.96875,,,,
49,33,33792,687,0.09934464,128,-1.744219608604908,-0.001226494088768959,0.0013826059,0.0036612506955862045,0.0002483616,0.051259622909128666,0.5573893785476685,0.038818359375,-20.28125,3711.96875,,,,
50,34,34816,693,0.09932416,132,-1.7435949966311455,-0.0008164669270627201,0.0008836024,0.013758206740021706,0.0002483104,0.04833503789268434,0.5447288155555725,0.0,-20.303030303030305,3694.3636363636365,,,,
51,35,35840,699,0.09930368,136,-1.7478322610259056,-0.0012537969159893692,0.0017029238,-0.0071113258600234985,0.00024825920000000004,0.037258982891216874,0.8026049137115479,0.006103515625,-20.323529411764707,3689.9411764705883,,,,
52,36,36864,705,0.09928320000000002,140,-1.7227773219347,-0.0023067030706442893,0.0024317359,-0.003258129581809044,0.00024820800000000003,0.035052798106335104,0.772730827331543,0.120849609375,-20.394736842105264,3649.6052631578946,,,,
53,37,37888,711,0.09926272000000001,144,-1.7362987846136093,-0.0010247400496155024,0.0013633315,0.028983641415834427,0.00024815680000000003,0.10003406088799238,0.6772104501724243,0.005615234375,-20.41025641025641,3662.4871794871797,,,,
54,38,38912,716,0.09924224000000001,148,-1.7237830236554146,-0.0010205340222455561,0.0016703091,0.022963428869843483,0.0002481056,0.08065692195668817,0.49279195070266724,0.025390625,-20.425,3653.325,,,,
55,39,39936,722,0.09922176,152,-1.7312841415405273,-0.00016562981181778014,0.00075305137,0.013488924130797386,0.0002480544,0.07237425958737731,0.4576895833015442,0.0,-20.425,3653.325,,,,
56,40,40960,727,0.09920128,156,-1.717312566936016,-0.001336970366537571,0.0014358149,0.01111537590622902,0.0002480032,0.07746455492451787,0.32388293743133545,0.03515625,-20.425,3653.325,,,,
57,41,41984,732,0.09918080000000001,160,-1.7033409103751183,-0.0014556791866198182,0.002432215,-0.008394446223974228,0.000247952,0.03029887902084738,0.7506890892982483,0.023193359375,-20.414634146341463,3652.1951219512193,,,,
58,42,43008,736,0.09916032000000001,164,-1.7099029645323753,-0.0008138491248246282,0.0023028099,0.008528517559170723,0.0002479008,0.055618731770664454,0.8133963942527771,0.033935546875,-20.41860465116279,3642.5116279069766,,,,
59,43,44032,741,0.09913984,168,-1.6947569251060486,-0.00039185647619888186,0.0013588539,0.021425599232316017,0.0002478496,0.07818440697155893,0.5926307439804077,0.0,-20.444444444444443,3642.7555555555555,,,,
