time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_score_reward,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward
2,1,359,1024,,,,,,,,,,,,,,,,
16,2,127,2048,0.09997952,0.040771484375,0.0002499488,0.225933778565377,-0.01952981948852539,-1.7905218973755836,-0.0016763221647124738,0.0021665061,4,0.024363553151488304,,,,,,
28,3,108,3072,0.09995904,0.0,0.0002498976,0.11579833598807454,0.0026993155479431152,-1.790348008275032,-0.000644142332021147,0.00061228825,8,0.028689641505479813,,,,,,
41,4,98,4096,0.09993856000000001,0.0,0.0002498464,0.13527790969237685,0.0049839019775390625,-1.7911515906453133,-0.00019244827853981405,0.00015602907,12,0.036821600049734116,,,,,,
56,5,90,5120,0.09991808,0.0,0.0002497952,0.1349272900260985,0.0038638710975646973,-1.791037268936634,-0.000549601943930611,0.00035027385,16,0.03944561257958412,,,,,,
69,6,87,6144,0.0998976,0.0,0.000249744,0.10597316920757294,0.008630096912384033,-1.7896865755319595,0.00011220798478461802,0.0004594702,20,0.029382355511188507,3056.0,-21.0,,,,
84,7,84,7168,0.09987712,0.0,0.0002496928,0.117157815489918,0.008322000503540039,-1.7882194742560387,-0.0007739691209280863,0.00078642066,24,0.035653579980134964,3303.8,-21.0,,,,
98,8,83,8192,0.09985664,0.023681640625,0.0002496416,0.08835443807765841,0.022289156913757324,-1.7866604998707771,-0.0017046587308868766,0.002166829,28,0.02746010012924671,3480.25,-20.75,,,,
111,9,82,9216,0.09983616000000001,0.0,0.0002495904,0.09306410374119878,0.04609084129333496,-1.7837103977799416,-0.000311055569909513,0.0008355176,32,0.027587484568357468,3480.25,-20.75,,,,
125,10,81,10240,0.09981568,0.0830078125,0.00024953919999999997,0.11554726120084524,0.030061721801757812,-1.7730702310800552,-0.0029575969674624503,0.0021796296,36,0.038509100675582886,3480.25,-20.75,,,,
138,11,81,11264,0.0997952,0.01953125,0.00024948799999999997,0.10232636844739318,0.06511080265045166,-1.7747963145375252,-0.0005187071801628917,0.0016711439,40,0.029450954869389534,3480.25,-20.75,,,,
152,12,80,12288,0.09977472,0.008056640625,0.0002494368,0.08959884103387594,0.13677847385406494,-1.7708232402801514,-0.0003020667645614594,0.0013333054,44,0.019109146669507027,3480.25,-20.75,,,,
165,13,80,13312,0.09975424000000001,0.013916015625,0.0002493856,0.11082404479384422,0.13791054487228394,-1.7709794119000435,-0.0010696480894694105,0.0010436496,48,0.04025379940867424,3428.2,-20.8,,,,
179,14,79,14336,0.09973376,0.1201171875,0.0002493344,0.08560744812712073,0.20735204219818115,-1.7668885812163353,-0.004235413682181388,0.0026993528,52,0.021351633593440056,3416.181818181818,-20.818181818181817,,,,
194,15,79,15360,0.09971328000000002,0.0703125,0.0002492832,0.08529190951958299,0.15184909105300903,-1.7616466581821442,-0.0018374708597548306,0.002830993,56,0.016090651974081993,3491.3333333333335,-20.666666666666668,,,,
208,16,78,16384,0.09969280000000001,0.07958984375,0.000249232,0.1014525811187923,0.1766766905784607,-1.749233640730381,-0.0020253987167961895,0.0022364692,60,0.025606639683246613,3544.5625,-20.6875,,,,
223,17,77,17408,0.09967232000000001,0.119140625,0.0002491808,0.10428517311811447,0.1745617389678955,-1.739585094153881,-0.002127029816620052,0.0033820525,64,0.040875740349292755,3544.5625,-20.6875,,,,
239,18,76,18432,0.09965184,0.06689453125,0.0002491296,0.07636499451473355,0.34671396017074585,-1.7384988144040108,-0.0008265265496447682,0.0027755776,68,0.028635866940021515,3544.5625,-20.6875,,,,
253,19,76,19456,0.09963136,0.098388671875,0.0002490784,0.07486261986196041,0.40331166982650757,-1.7330627664923668,-0.0023496156209148467,0.004531226,72,0.014529366046190262,3530.176470588235,-20.705882352941178,,,,
269,20,75,20480,0.09961088000000001,0.0,0.0002490272,0.06032163859345019,0.48734766244888306,-1.7208650261163712,-0.00025755923707038164,0.0010826424,76,0.007023351266980171,3517.4210526315787,-20.68421052631579,,,,
285,21,75,21504,0.09959040000000001,0.086669921875,0.000248976,0.06899053114466369,0.49736618995666504,-1.7404259592294693,-0.0022209556482266635,0.0034108672,80,0.012092120945453644,3473.909090909091,-20.727272727272727,,,,
299,22,75,22528,0.09956992,0.052734375,0.00024892480000000003,0.11041079880669713,0.3085622787475586,-1.7605909556150436,-0.002284001122461632,0.0022740182,84,0.03939329832792282,3479.695652173913,-20.695652173913043,,,,
314,23,74,23552,0.09954944,0.0107421875,0.00024887360000000003,0.07512656529434025,0.37990128993988037,-1.761552669107914,-0.0012966103095095605,0.0012578538,88,0.0115306805819273,3497.75,-20.666666666666668,,,,
