time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/value_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_object_reward,eval/mean_score_ep_length,eval/mean_score_reward
363,2,1024,1,,,,,,,,,,,,,,,,
155,13,2048,2,0.37279395665973425,0.00633472204208374,0.0002499488,0.0026812812,4,0.023846540600061417,-0.0048593282990623266,-1.790054902434349,0.067626953125,0.09997952,,,,,,
131,23,3072,3,0.12056137761101127,0.0026984810829162598,0.0002498976,0.0012897069,8,0.03760020434856415,-0.0012205147941131145,-1.788090042769909,0.0,0.09995904,,,,,,
122,33,4096,4,0.1309090186841786,0.012238383293151855,0.0002498464,0.0005408865,12,0.03363608568906784,-0.0005129683704581112,-1.7845778614282608,0.0,0.09993856000000001,,,,,,
118,43,5120,5,0.10695920884609222,0.01590871810913086,0.0002497952,0.0021445951,16,0.037418000400066376,-0.0021186950616538525,-1.7847352400422096,0.012451171875,0.09991808,,,,,,
116,52,6144,6,0.1379661550745368,0.010485827922821045,0.000249744,0.0010013566,20,0.04481906443834305,-0.00134389303275384,-1.7821801975369453,0.0,0.0998976,,,,,,
114,62,7168,7,0.1001609698869288,0.0583001971244812,0.0002496928,0.0010285409,24,0.022537091746926308,0.0005562969745369628,-1.7790326476097107,0.00927734375,0.09987712,3418.6666666666665,-20.333333333333332,,,,
113,72,8192,8,0.08704059245064855,0.0074735283851623535,0.0002496416,0.00053880684,28,0.023340214043855667,-0.0007058928022161126,-1.7825601994991302,0.0,0.09985664,3483.0,-20.375,,,,
111,82,9216,9,0.11345702176913619,0.019748687744140625,0.0002495904,0.0010076764,32,0.03381381928920746,-0.0001672967046033591,-1.7764045298099518,0.0,0.09983616000000001,3483.0,-20.375,,,,
111,92,10240,10,0.12527176225557923,0.05211520195007324,0.00024953919999999997,0.0018658962,36,0.04791992902755737,-0.0005421298556029797,-1.7678432613611221,0.02001953125,0.09981568,3483.0,-20.375,,,,
