time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/n_updates,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_reward,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_score_ep_length
1024,1,345,2,,,,,,,,,,,,,,,,
2048,2,138,14,0.0002499488,0.027842486277222633,0.015380859375,0.09997952,-1.7908380255103111,0.36877023288980126,0.0005417373,-0.025661349296569824,4,-0.00024249129637610167,,,,,,
3072,3,118,25,0.0002498976,0.04102508723735809,0.0,0.09995904,-1.7909116446971893,0.13456685189157724,0.00010799093,0.0006363987922668457,8,-7.46506848372519e-05,,,,,,
4096,4,111,36,0.0002498464,0.03552907705307007,0.0,0.09993856000000001,-1.7903639301657677,0.16062383819371462,0.00023374893,0.008250653743743896,12,-0.0004905433452222496,,,,,,
5120,5,107,47,0.0002497952,0.0305923018604517,0.0,0.09991808,-1.7889548987150192,0.1066762120462954,0.00018451095,0.018232345581054688,16,0.0004145079874433577,,,,,,
6144,6,104,58,0.000249744,0.031168071553111076,0.0,0.0998976,-1.7899656295776367,0.10896181501448154,0.00048430794,0.02659785747528076,20,-4.415131115820259e-05,3056.0,-21.0,,,,
7168,7,103,69,0.0002496928,0.05755393207073212,0.0,0.09987712,-1.789331205189228,0.14336627488955855,0.0015222279,0.01352083683013916,24,-0.0015803065616637468,3363.5,-20.5,,,,
8192,8,102,80,0.0002496416,0.041625116020441055,0.027587890625,0.09985664,-1.7802444398403168,0.11762568214908242,0.0019926,0.03345620632171631,28,-0.00020141279674135149,3440.4,-20.2,,,,
9216,9,101,90,0.0002495904,0.02607416734099388,0.05224609375,0.09983616000000001,-1.7731380015611649,0.08090221555903554,0.0032673539,0.020447731018066406,32,-0.0021445895254146308,3704.0,-19.714285714285715,,,,
10240,10,101,101,0.00024953919999999997,0.02875629812479019,0.0,0.09981568,-1.7653935849666595,0.10357365710660815,0.00031921774,0.0677483081817627,36,-0.0001410257536917925,3833.375,-19.75,,,,
11264,11,100,111,0.00024948799999999997,0.033795684576034546,0.0078125,0.0997952,-1.769313745200634,0.11166151240468025,0.0008164351,0.07845073938369751,40,-0.0006441892692237161,3833.375,-19.75,,,,
12288,12,100,122,0.0002494368,0.024195510894060135,0.0,0.09977472,-1.7655889764428139,0.1314607639797032,0.001168296,0.11718428134918213,44,-0.00032281671883538365,3833.375,-19.75,,,,
13312,13,99,134,0.0002493856,0.015492916107177734,0.0,0.09975424000000001,-1.7626061886548996,0.07775587914511561,0.00024216581,0.16665613651275635,48,0.00020445070549612865,3786.5555555555557,-19.88888888888889,,,,
14336,14,98,145,0.0002493344,0.019393742084503174,0.07373046875,0.09973376,-1.7593742311000824,0.06877497863024473,0.0026971246,0.2887178063392639,52,-0.0023998652468435466,3797.1,-20.0,,,,
15360,15,97,156,0.0002492832,0.04702035337686539,0.0263671875,0.09971328000000002,-1.753690056502819,0.10557451890781522,0.002014092,0.17549246549606323,56,-0.0010633934871293604,3770.6428571428573,-20.071428571428573,,,,
