time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/value_loss,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_reward,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_score_reward
2,1024,359,1,,,,,,,,,,,,,,,,
16,2048,125,2,0.4153360156342387,4,0.013472326099872589,-0.046419739723205566,0.09997952,0.0002499488,-0.005535609438084066,0.0029154867,0.071533203125,-1.789419136941433,,,,,,
28,3072,106,3,0.12808457715436816,8,0.030999187380075455,0.004009723663330078,0.09995904,0.0002498976,-0.00010938116611214355,0.00048801035,0.0,-1.7890886887907982,,,,,,
42,4096,97,4,0.1585179315879941,12,0.05414385348558426,0.0012944340705871582,0.09993856000000001,0.0002498464,-0.00031085123191587627,0.0002965993,0.0,-1.7901866734027863,,,,,,
55,5120,91,5,0.10327043104916811,16,0.03322206065058708,0.008526384830474854,0.09991808,0.0002497952,3.111103433184326e-05,0.00032978947,0.0,-1.7901547029614449,,,,,,
68,6144,89,6,0.12419776897877455,20,0.03651253879070282,0.015696942806243896,0.0998976,0.000249744,-0.0007876716845203191,0.0006483015,0.0,-1.789793610572815,,,,,,
81,7168,88,7,0.11348019074648619,24,0.03333791345357895,0.021121323108673096,0.09987712,0.0002496928,-8.632594835944474e-05,0.0006643551,0.0,-1.7880658358335495,3373.6666666666665,-21.0,,,,
93,8192,87,8,0.10247230622917414,28,0.023684153333306313,0.021723508834838867,0.09985664,0.0002496416,-0.0016085554379969835,0.0022596344,0.029541015625,-1.7837478443980217,3638.5714285714284,-20.571428571428573,,,,
106,9216,86,9,0.09658200806006789,32,0.03151912987232208,0.029208362102508545,0.09983616000000001,0.0002495904,-0.0021554618142545223,0.002790251,0.060302734375,-1.7725920975208282,3743.625,-20.5,,,,
119,10240,85,10,0.10945348301902413,36,0.030262961983680725,0.045582592487335205,0.09981568,0.00024953919999999997,-0.0010260088893119246,0.0030970308,0.06396484375,-1.7606671899557114,3743.625,-20.5,,,,
132,11264,85,11,0.12957691168412566,40,0.047271039336919785,0.02826911211013794,0.0997952,0.00024948799999999997,-0.00015421556599903852,0.0021258828,0.02392578125,-1.749325804412365,3743.625,-20.5,,,,
145,12288,84,12,0.13515346683561802,44,0.053329989314079285,0.025268614292144775,0.09977472,0.0002494368,-0.0007611665059812367,0.0011221272,0.00537109375,-1.7474235892295837,3743.625,-20.5,,,,
158,13312,83,13,0.10227080760523677,48,0.034508898854255676,0.07083410024642944,0.09975424000000001,0.0002493856,-0.0015789230819791555,0.00096898206,0.0380859375,-1.7390010878443718,3743.625,-20.5,,,,
171,14336,83,14,0.11058279173448682,52,0.022014133632183075,0.14109700918197632,0.09973376,0.0002493344,-0.0006769872561562806,0.0030956515,0.0986328125,-1.7290039137005806,3679.2727272727275,-20.454545454545453,,,,
183,15360,83,15,0.08974355086684227,56,0.0319715291261673,0.19501686096191406,0.09971328000000002,0.0002492832,-0.001733083016006276,0.0028078782,0.047119140625,-1.731368213891983,3674.3571428571427,-20.357142857142858,,,,
196,16384,83,16,0.0888938452117145,60,0.01683395355939865,0.16522586345672607,0.09969280000000001,0.000249232,-0.002613698976347223,0.0032715548,0.099609375,-1.7247556000947952,3674.3571428571427,-20.357142857142858,,,,
209,17408,83,17,0.09008709480985999,64,0.028109082952141762,0.23393458127975464,0.09967232000000001,0.0002491808,-0.001438523264368996,0.0012600082,0.005615234375,-1.7298313453793526,3778.125,-20.1875,,,,
221,18432,83,18,0.10110782459378242,68,0.027471302077174187,0.21334576606750488,0.09965184,0.0002491296,-0.00021333133918233216,0.00045663054,0.0,-1.721369132399559,3778.125,-20.1875,,,,
234,19456,82,19,0.0699274882208556,72,0.012331157922744751,0.3465452790260315,0.09963136,0.0002490784,-0.0007569876033812761,0.0014898151,0.1025390625,-1.7021262422204018,3778.125,-20.1875,,,,
247,20480,82,20,0.049785847309976816,76,0.008431600406765938,0.5239901542663574,0.09961088000000001,0.0002490272,-0.0006655192119069397,0.0015073313,0.052978515625,-1.684493251144886,3778.125,-20.1875,,,,
259,21504,82,21,0.059189738938584924,80,-0.003920672461390495,0.6558552980422974,0.09959040000000001,0.000248976,-0.0016103709931485355,0.0021455395,0.152587890625,-1.644041657447815,3666.5238095238096,-20.38095238095238,,,,
272,22528,82,22,0.12332626106217504,84,0.04146357253193855,0.2429523468017578,0.09956992,0.00024892480000000003,-0.0006412495567929,0.0010917417,0.02001953125,-1.6439445838332176,3666.5238095238096,-20.38095238095238,,,,
285,23552,82,23,0.0674692161846906,88,0.0005376134067773819,0.3900189995765686,0.09954944,0.00024887360000000003,-0.0013286700705066323,0.0016366928,0.065673828125,-1.6579905897378922,3657.8333333333335,-20.416666666666668,,,,
298,24576,82,24,0.1260023140348494,92,0.04626697301864624,0.13537174463272095,0.09952896,0.0002488224,-1.5266676200553775e-05,0.0016382821,0.06591796875,-1.665065124630928,3657.8333333333335,-20.416666666666668,,,,
,25000,,,0.07703106431290507,96,0.016871904954314232,0.1804371476173401,0.09950848000000001,0.0002487712,-0.002770072460407391,0.0017856006,0.066650390625,-1.6378992572426796,,,0.0,3056.0,3056.0,-21.0
341,25600,74,25,,,,,,,,,,,3657.8333333333335,-20.416666666666668,,,,
354,26624,75,26,0.06102071376517415,100,0.008879128843545914,0.40535181760787964,0.09948800000000001,0.00024872,-0.000889021044713445,0.00074425415,0.090576171875,-1.6062246412038803,3657.8333333333335,-20.416666666666668,,,,
367,27648,75,27,0.05203566700220108,104,0.0021605342626571655,0.5612917542457581,0.09946752,0.0002486688,-0.0006356986123137176,0.004122993,0.123046875,-1.6469491049647331,3632.5,-20.46153846153846,,,,
380,28672,75,28,0.07359914435073733,108,0.018999526277184486,0.5374739170074463,0.09944704,0.0002486176,0.0002018189406953752,0.0004982748,0.0,-1.6355130821466446,3598.103448275862,-20.517241379310345,,,,
392,29696,75,29,0.0928060645237565,112,0.01725069433450699,0.34509211778640747,0.09942656,0.0002485664,-0.0008454899798380211,0.0036063667,0.080078125,-1.6891261488199234,3557.03125,-20.5625,,,,
405,30720,75,30,0.10051511973142624,116,0.01934644766151905,0.41787266731262207,0.09940608000000001,0.0002485152,-0.0007643272037967108,0.0014057364,0.017822265625,-1.7007193490862846,3557.03125,-20.5625,,,,
417,31744,75,31,0.06117881345562637,120,0.010671142488718033,0.43594348430633545,0.0993856,0.000248464,-0.000547161151189357,0.0009120813,0.0439453125,-1.719547562301159,3557.03125,-20.5625,,,,
430,32768,76,32,0.07655955594964325,124,0.0124480240046978,0.4363495707511902,0.09936512,0.0002484128,-0.00038213930383790284,0.0006213671,0.0,-1.7158438488841057,3557.03125,-20.5625,,,,
