time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_range,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/entropy_loss,train/learning_rate,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_score_reward,eval/mean_object_reward
439,1024,1,2,,,,,,,,,,,,,,,,
478,2048,2,4,0.09997952,0.0032293121,-0.024586796760559082,0.2509371666237712,-0.0047506390837952495,4,0.0625,-1.7898560836911201,0.0002499488,0.026351293548941612,,,,,,
579,3072,3,5,0.09995904,0.0007622113,0.001531362533569336,0.11343147326260805,-0.0011896991054527462,8,0.0,-1.7883349433541298,0.0002498976,0.027974030002951622,,,,,,
647,4096,4,6,0.09993856000000001,0.0008526988,0.003136754035949707,0.12300782045349479,-0.0013381826865952462,12,0.0,-1.7885384038090706,0.0002498464,0.029892250895500183,,,,,,
696,5120,5,7,0.09991808,0.0017859564,0.003572702407836914,0.13391325157135725,-0.001607585872989148,16,0.0,-1.786634773015976,0.0002497952,0.03608473390340805,,,,,,
732,6144,6,8,0.0998976,0.0025682356,0.00817042589187622,0.12645095493644476,-0.0007899462943896651,20,0.063720703125,-1.777845822274685,0.000249744,0.04939637333154678,,,,,,
758,7168,7,9,0.09987712,0.0021639154,0.013266801834106445,0.124392444267869,-0.0018895554239861667,24,0.0615234375,-1.7802086770534515,0.0002496928,0.049827419221401215,-20.75,3389.0,,,,
780,8192,8,10,0.09985664,0.0014361467,-0.04506397247314453,0.09844027180224657,-0.0006550144462380558,28,0.0224609375,-1.7800560891628265,0.0002496416,0.038903944194316864,-20.4,3499.6,,,,
799,9216,9,11,0.09983616000000001,0.0014618756,0.013062238693237305,0.10296445898711681,-0.0015633687726221979,32,0.055419921875,-1.7788027748465538,0.0002495904,0.03447657823562622,-20.333333333333332,3648.0,,,,
814,10240,10,12,0.09981568,0.0005405528,0.042509377002716064,0.09521713061258197,-0.0002004588022828102,36,0.0,-1.7808665111660957,0.00024953919999999997,0.034508295357227325,-19.875,3935.875,,,,
828,11264,11,13,0.0997952,0.0013227435,0.07474851608276367,0.12316918233409524,-0.0023441665980499238,40,0.0,-1.7786994203925133,0.00024948799999999997,0.048322319984436035,-19.875,3935.875,,,,
840,12288,12,14,0.09977472,0.0022756504,0.053996503353118896,0.10873149149119854,-0.0017479198286309838,44,0.030517578125,-1.7687298357486725,0.0002494368,0.028998449444770813,-19.875,3935.875,,,,
850,13312,13,15,0.09975424000000001,0.003192057,0.08954131603240967,0.11224237643182278,-0.002979286975460127,48,0.07080078125,-1.7645730823278427,0.0002493856,0.029279716312885284,-20.0,3846.4444444444443,,,,
858,14336,14,16,0.09973376,0.0026571534,0.09925276041030884,0.10992974322289228,-0.0013817072904203087,52,0.080078125,-1.7725121825933456,0.0002493344,0.039484746754169464,-20.0,3850.3636363636365,,,,
866,15360,15,17,0.09971328000000002,0.0012701061,0.1864977478981018,0.08485352760180831,-0.0003630832361523062,56,0.0,-1.7758753076195717,0.0002492832,0.0321003720164299,-20.076923076923077,3834.6153846153848,,,,
872,16384,16,18,0.09969280000000001,0.0025323709,0.13700348138809204,0.09086446417495608,-0.002015715406741947,60,0.038330078125,-1.7665248736739159,0.000249232,0.038378965109586716,-20.133333333333333,3781.733333333333,,,,
878,17408,17,19,0.09967232000000001,0.00091974624,0.006698906421661377,0.11730829114094377,-0.0004850653640460223,64,0.0,-1.7610188201069832,0.0002491808,0.04255843162536621,-20.125,3775.0625,,,,
883,18432,18,20,0.09965184,0.0018088985,0.14007484912872314,0.09284072043374181,-0.001817320560803637,68,0.038330078125,-1.7607296034693718,0.0002491296,0.029359744861721992,-20.125,3775.0625,,,,
889,19456,19,21,0.09963136,0.0020945128,0.15300244092941284,0.10484365979209542,-0.0016332411905750632,72,0.094482421875,-1.7511425241827965,0.0002490784,0.033732715994119644,-20.125,3775.0625,,,,
893,20480,20,22,0.09961088000000001,0.0010983443,0.2802925109863281,0.08287408808246255,-0.0008842513780109584,76,0.00146484375,-1.7459542527794838,0.0002490272,0.014445642940700054,-20.125,3775.0625,,,,
897,21504,21,23,0.09959040000000001,0.0010223712,0.3007305860519409,0.07147142291069031,-0.0011444022820796818,80,0.0,-1.7520954832434654,0.000248976,0.017039084807038307,-20.166666666666668,3766.4444444444443,,,,
901,22528,22,24,0.09956992,0.0024590106,0.2573944926261902,0.14811360836029053,-0.001577563351020217,84,0.045654296875,-1.759609878063202,0.00024892480000000003,0.05116058886051178,-20.157894736842106,3759.157894736842,,,,
904,23552,23,26,0.09954944,0.0014446318,0.5180811882019043,0.0727580995298922,-0.00022618932416662574,88,0.000732421875,-1.757195346057415,0.00024887360000000003,0.01439967192709446,-20.181818181818183,3794.9545454545455,,,,
907,24576,24,27,0.09952896,0.0011141608,0.432282030582428,0.07568933395668864,0.00027033407241106033,92,0.01513671875,-1.754863202571869,0.0002488224,0.014178453013300896,-20.217391304347824,3804.5652173913045,,,,
,25000,,,0.09950848000000001,0.0025756601,0.20134711265563965,0.12130397884175181,-0.002024743123911321,96,0.068359375,-1.7607124522328377,0.0002487712,0.06255774199962616,,,3056.0,3056.0,-21.0,0.0
622,25600,25,41,,,,,,,,,,,-20.208333333333332,3816.9166666666665,,,,
631,26624,26,42,0.09948800000000001,0.0018050415,0.4706239700317383,0.06389393168501556,-0.0012955082347616553,100,0.031982421875,-1.7664099857211113,0.00024872,0.008795039728283882,-20.208333333333332,3816.9166666666665,,,,
640,27648,27,43,0.09946752,0.00067357183,0.6729423999786377,0.03735553892329335,-0.0002522717113606632,104,0.0,-1.767871506512165,0.0002486688,-0.005047934129834175,-20.208333333333332,3816.9166666666665,,,,
648,28672,28,44,0.09944704,0.00054086384,0.6768090724945068,0.03207687009125948,-0.00040483100747223943,108,0.0,-1.7697221338748932,0.0002486176,-0.010265979915857315,-20.26923076923077,3802.3846153846152,,,,
656,29696,29,45,0.09942656,0.0030924038,0.7423168420791626,0.03793577919714153,-0.0015885434113442898,112,0.095947265625,-1.7645888552069664,0.0002485664,-0.000616811215877533,-20.275862068965516,3756.9310344827586,,,,
663,30720,30,46,0.09940608000000001,0.0032029294,0.7344132661819458,0.048436209093779325,-0.002323856926523149,116,0.10302734375,-1.7553385347127914,0.0002485152,-0.0011291839182376862,-20.29032258064516,3723.6451612903224,,,,
670,31744,31,47,0.0993856,0.0020410381,0.5445239543914795,0.07282297126948833,-0.0010522327793296427,120,0.104736328125,-1.7574724107980728,0.000248464,0.0068070534616708755,-20.29032258064516,3723.6451612903224,,,,
677,32768,32,48,0.09936512,0.0018963884,0.33454835414886475,0.07648022659122944,-0.0009891955996863544,124,0.0673828125,-1.7370977997779846,0.0002484128,0.02602221444249153,-20.28125,3711.96875,,,,
683,33792,33,49,0.09934464,0.0013826059,0.5573893785476685,0.051259622909128666,-0.001226494088768959,128,0.038818359375,-1.744219608604908,0.0002483616,0.0036612506955862045,-20.28125,3711.96875,,,,
690,34816,34,50,0.09932416,0.0008836024,0.5447288155555725,0.04833503789268434,-0.0008164669270627201,132,0.0,-1.7435949966311455,0.0002483104,0.013758206740021706,-20.303030303030305,3694.3636363636365,,,,
696,35840,35,51,0.09930368,0.0017029238,0.8026049137115479,0.037258982891216874,-0.0012537969159893692,136,0.006103515625,-1.7478322610259056,0.00024825920000000004,-0.0071113258600234985,-20.323529411764707,3689.9411764705883,,,,
