time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/entropy_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/value_loss,train/loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward
2,437,1,1024,,,,,,,,,,,,,,,,
4,477,2,2048,-1.7910185754299164,0.0002499488,-0.003306269645690918,-0.0010429829417262226,0.0011687791,0.09997952,0.0,0.20943834772333503,0.02275463007390499,4,,,,,,
5,576,3,3072,-1.7899582833051682,0.0002498976,0.009437799453735352,-0.00022155427723191679,0.0002413069,0.09995904,0.0,0.10937690548598766,0.02423132210969925,8,,,,,,
6,643,4,4096,-1.7898207679390907,0.0002498464,0.002183377742767334,9.474885882809758e-05,0.00017015327,0.09993856000000001,0.0,0.12866885727271438,0.052835628390312195,12,,,,,,
7,694,5,5120,-1.7867625132203102,0.0002497952,0.0014635324478149414,-0.00047358559095300734,0.0011276933,0.09991808,0.0,0.1370390779338777,0.04315763711929321,16,,,,,,
8,731,6,6144,-1.781209073960781,0.000249744,0.006759703159332275,-0.001286120677832514,0.0020382956,0.0998976,0.02685546875,0.11436490248888731,0.033852990716695786,20,,,,,,
9,759,7,7168,-1.7762360647320747,0.0002496928,0.012902557849884033,0.00015744540723972023,0.000405645,0.09987712,0.0,0.10003795335069299,0.027456577867269516,24,3339.3333333333335,-20.666666666666668,,,,
10,783,8,8192,-1.779013529419899,0.0002496416,-0.004960894584655762,-0.0004021520144306123,0.0009015689,0.09985664,0.00048828125,0.11016012029722333,0.03345713019371033,28,3339.3333333333335,-20.666666666666668,,,,
11,801,9,9216,-1.78103806078434,0.0002495904,0.006148874759674072,-0.0017014509066939354,0.0016115563,0.09983616000000001,0.0498046875,0.11425919830799103,0.035313691943883896,32,3911.714285714286,-20.428571428571427,,,,
12,817,10,10240,-1.7815082147717476,0.00024953919999999997,-0.006720423698425293,-0.0008203705074265599,0.0011413909,0.09981568,0.0,0.09642195841297507,0.03120138868689537,36,4002.5,-20.25,,,,
