time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/approx_kl,train/entropy_loss,train/clip_range,train/loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_score_ep_length,eval/mean_object_reward
524,1024,1,1,,,,,,,,,,,,,,,,
621,2048,3,2,0.0011687791,-1.7910185754299164,0.09997952,0.02275463007390499,0.20943834772333503,0.0002499488,-0.0010429829417262226,4,-0.003306269645690918,0.0,,,,,,
711,3072,4,3,0.0002413069,-1.7899582833051682,0.09995904,0.02423132210969925,0.10937690548598766,0.0002498976,-0.00022155427723191679,8,0.009437799453735352,0.0,,,,,,
766,4096,5,4,0.00017015327,-1.7898207679390907,0.09993856000000001,0.052835628390312195,0.12866885727271438,0.0002498464,9.474885882809758e-05,12,0.002183377742767334,0.0,,,,,,
803,5120,6,5,0.0011276933,-1.7867625132203102,0.09991808,0.04315763711929321,0.1370390779338777,0.0002497952,-0.00047358559095300734,16,0.0014635324478149414,0.0,,,,,,
830,6144,7,6,0.0020382956,-1.781209073960781,0.0998976,0.033852990716695786,0.11436490248888731,0.000249744,-0.001286120677832514,20,0.006759703159332275,0.02685546875,,,,,,
848,7168,8,7,0.000405645,-1.7762360647320747,0.09987712,0.027456577867269516,0.10003795335069299,0.0002496928,0.00015744540723972023,24,0.012902557849884033,0.0,3339.3333333333335,-20.666666666666668,,,,
864,8192,9,8,0.0009015689,-1.779013529419899,0.09985664,0.03345713019371033,0.11016012029722333,0.0002496416,-0.0004021520144306123,28,-0.004960894584655762,0.00048828125,3339.3333333333335,-20.666666666666668,,,,
875,9216,10,9,0.0016115563,-1.78103806078434,0.09983616000000001,0.035313691943883896,0.11425919830799103,0.0002495904,-0.0017014509066939354,32,0.006148874759674072,0.0498046875,3911.714285714286,-20.428571428571427,,,,
885,10240,11,10,0.0011413909,-1.7815082147717476,0.09981568,0.03120138868689537,0.09642195841297507,0.00024953919999999997,-0.0008203705074265599,36,-0.006720423698425293,0.0,4002.5,-20.25,,,,
895,11264,12,11,0.0036195256,-1.777436003088951,0.0997952,0.01182234100997448,0.09452367248013616,0.00024948799999999997,-0.003945717471651733,40,0.01172858476638794,0.07470703125,4002.5,-20.25,,,,
902,12288,13,12,0.0015125107,-1.7657049670815468,0.09977472,0.020384373143315315,0.09679805673658848,0.0002494368,-0.00112617076956667,44,0.02837967872619629,0.0,4002.5,-20.25,,,,
908,13312,14,13,0.0021963015,-1.7668511793017387,0.09975424000000001,0.04879060387611389,0.12954756384715438,0.0002493856,-0.00231225453899242,48,0.022139012813568115,0.012451171875,3905.6666666666665,-20.333333333333332,,,,
914,14336,15,14,0.0025883564,-1.7557954639196396,0.09973376,0.01741032674908638,0.08975802268832922,0.0002493344,-0.0026309932582080364,52,0.041030943393707275,0.098876953125,3905.6666666666665,-20.333333333333332,,,,
917,15360,16,15,0.004238044,-1.7387817427515984,0.09971328000000002,0.028919639065861702,0.09067088086158037,0.0002492832,-0.003415005427086726,56,0.06662189960479736,0.1376953125,3832.846153846154,-20.46153846153846,,,,
921,16384,17,16,0.0008369385,-1.7386998683214188,0.09969280000000001,0.02770589105784893,0.11491351248696446,0.000249232,-0.0008451848989352584,60,0.03067004680633545,0.000244140625,3794.785714285714,-20.5,,,,
924,17408,18,17,0.0019636005,-1.7438961267471313,0.09967232000000001,0.04099111258983612,0.10686349403113127,0.0002491808,-0.0005924602155573666,64,0.04512214660644531,0.045654296875,3798.3125,-20.4375,,,,
928,18432,19,18,0.0006521236,-1.7524143382906914,0.09965184,0.027128368616104126,0.09459467465057969,0.0002491296,9.302300168201327e-05,68,0.09886282682418823,0.0,3798.3125,-20.4375,,,,
931,19456,20,19,0.0011644566,-1.7603974416851997,0.09963136,0.02515241503715515,0.0939668957144022,0.0002490784,-0.0018639744666870683,72,0.1071786880493164,0.017578125,3798.3125,-20.4375,,,,
934,20480,21,20,0.0018586437,-1.7656965106725693,0.09961088000000001,0.041111674159765244,0.1099840309470892,0.0002490272,-0.0012720827071461827,76,0.07520788908004761,0.0,3784.0588235294117,-20.41176470588235,,,,
936,21504,22,21,0.0027292676,-1.7770986109972,0.09959040000000001,0.02640059031546116,0.09316846774891019,0.000248976,-0.002216306049376726,80,0.06369322538375854,0.0654296875,3731.6315789473683,-20.473684210526315,,,,
936,22528,24,22,0.0020824028,-1.7749437615275383,0.09956992,0.03409918397665024,0.11252970714122057,0.00024892480000000003,-0.0015007648908067495,84,0.10092216730117798,0.020263671875,3725.05,-20.5,,,,
938,23552,25,23,0.0022219955,-1.7580414116382599,0.09954944,0.05030070245265961,0.11932365829125047,0.00024887360000000003,-0.0017371800495311618,88,0.125310480594635,0.031982421875,3725.05,-20.5,,,,
939,24576,26,24,0.0010280093,-1.7482396811246872,0.09952896,0.0449221134185791,0.13264122745022178,0.0002488224,-0.0007140209199860692,92,0.07449430227279663,0.010986328125,3775.217391304348,-20.434782608695652,,,,
,25000,,,0.0005534567,-1.750890389084816,0.09950848000000001,0.02615804225206375,0.11682942090556026,0.0002487712,-0.00017113127978518605,96,0.12575781345367432,0.0,,,3056.0,-21.0,3056.0,-0.096
636,25600,40,25,,,,,,,,,,,3799.375,-20.375,,,,
645,26624,41,26,0.001354221,-1.7509490624070168,0.09948800000000001,0.0325004942715168,0.10891903517767787,0.00024872,-0.0011224920745007694,100,0.1552256941795349,0.012939453125,3785.8,-20.36,,,,
654,27648,42,27,0.0024527581,-1.7515756487846375,0.09946752,0.005970127880573273,0.07606573216617107,0.0002486688,-0.0015366216539405286,104,0.28194522857666016,0.051025390625,3785.8,-20.36,,,,
662,28672,43,28,0.0034076702,-1.747876562178135,0.09944704,0.024492263793945312,0.082827003672719,0.0002486176,-0.0024760338419582695,108,0.26321256160736084,0.095703125,3785.8,-20.36,,,,
670,29696,44,29,0.0010474477,-1.759060226380825,0.09942656,0.027881933376193047,0.10023737093433738,0.0002485664,-9.562511695548892e-05,112,0.2731444239616394,0.0,3785.8888888888887,-20.333333333333332,,,,
677,30720,45,30,0.003222503,-1.7529329136013985,0.09940608000000001,0.0182014312595129,0.09179542912170291,0.0002485152,-0.0017828596755862236,116,0.33520692586898804,0.06494140625,3807.964285714286,-20.285714285714285,,,,
684,31744,46,31,0.0020241952,-1.7473383471369743,0.0993856,0.018742896616458893,0.09546380629763007,0.000248464,-0.0016237149247899652,120,0.2372591495513916,0.12109375,3800.0,-20.35483870967742,,,,
691,32768,47,32,0.0019466963,-1.7375620678067207,0.09936512,0.03175743669271469,0.1115975072607398,0.0002484128,-0.0018821577541530132,124,0.3487739562988281,0.033203125,3782.59375,-20.375,,,,
697,33792,48,33,0.0017354744,-1.7291630059480667,0.09934464,0.03465598076581955,0.11495502851903439,0.0002483616,-0.0018372796766925603,128,0.2549836039543152,0.07763671875,3782.59375,-20.375,,,,
703,34816,49,34,0.0013875632,-1.7155840992927551,0.09932416,0.02871612459421158,0.08942151116207242,0.0002483104,-0.002848728734534234,132,0.288141131401062,0.0751953125,3789.909090909091,-20.393939393939394,,,,
709,35840,50,35,0.003960063,-1.7204319089651108,0.09930368,0.010002104565501213,0.06992161739617586,0.00024825920000000004,-0.0006201000069268048,136,0.46139204502105713,0.12939453125,3789.909090909091,-20.393939393939394,,,,
715,36864,51,36,0.00085018785,-1.7170944511890411,0.09928320000000002,0.011615430936217308,0.0612357622012496,0.00024820800000000003,-0.000136882794322446,140,0.4436687231063843,0.0009765625,3777.5882352941176,-20.41176470588235,,,,
720,37888,52,37,0.00304831,-1.6992462202906609,0.09926272000000001,0.030240094289183617,0.09011698700487614,0.00024815680000000003,-0.0024467064649797976,144,0.5086661577224731,0.07177734375,3760.5263157894738,-20.342105263157894,,,,
726,38912,53,38,0.0024917282,-1.6931335777044296,0.09924224000000001,0.040265388786792755,0.0927253607660532,0.0002481056,0.00015698382048867643,148,0.46520084142684937,0.030517578125,3760.5263157894738,-20.342105263157894,,,,
731,39936,54,39,0.0019767664,-1.680389367043972,0.09922176,0.033691056072711945,0.11070768255740404,0.0002480544,-0.001644978707190603,152,0.3253684639930725,0.075439453125,3758.3846153846152,-20.333333333333332,,,,
735,40960,55,40,0.0035115788,-1.686797097325325,0.09920128,0.002488521859049797,0.03962426877114922,0.0002480032,-0.0015751137398183346,156,0.6151596307754517,0.144287109375,3769.65,-20.3,,,,
740,41984,56,41,0.0029545731,-1.6991427466273308,0.09918080000000001,0.00800187699496746,0.07361190533265471,0.000247952,-0.0028713500942103565,160,0.5917835235595703,0.089599609375,3758.0975609756097,-20.317073170731707,,,,
745,43008,57,42,0.0004728682,-1.7106451317667961,0.09916032000000001,0.039980292320251465,0.11533509520813823,0.0002479008,0.0017663888284005225,164,0.27431780099868774,0.048095703125,3758.0975609756097,-20.317073170731707,,,,
749,44032,58,43,0.0009333821,-1.7197608053684235,0.09913984,0.018807891756296158,0.08326855208724737,0.0002478496,-0.00023528485326096416,168,0.2078261375427246,0.0,3747.095238095238,-20.333333333333332,,,,
753,45056,59,44,0.002204071,-1.7403594925999641,0.09911936,0.011445458978414536,0.06424726056866348,0.0002477984,-0.0009351063636131585,172,0.43385475873947144,0.04541015625,3744.088888888889,-20.333333333333332,,,,
757,46080,60,45,0.003635264,-1.7367598786950111,0.09909888,0.008983448147773743,0.06848659529350698,0.0002477472,-0.00211498694261536,176,0.6581213474273682,0.078125,3738.4347826086955,-20.32608695652174,,,,
761,47104,61,46,0.0018927893,-1.7180307656526566,0.09907840000000001,0.03939467668533325,0.12281140452250838,0.000247696,-0.002519945439416915,180,0.385728120803833,0.056396484375,3751.2916666666665,-20.291666666666668,,,,
765,48128,62,47,0.0009500475,-1.713076800107956,0.09905792000000001,0.02669656090438366,0.08793249353766441,0.0002476448,0.0003405791358090937,184,0.658008873462677,0.00048828125,3751.2916666666665,-20.291666666666668,,,,
768,49152,63,48,0.00017041451,-1.7095876336097717,0.09903744,0.016409393399953842,0.08189555630087852,0.0002475936,0.0001292969100177288,188,0.4333447813987732,0.0,3751.2916666666665,-20.291666666666668,,,,
,50000,,,0.0033546933,-1.7137812227010727,0.09901696,-0.003282347694039345,0.049317242577672005,0.0002475424,-0.0017904695705510676,192,0.6281282305717468,0.139892578125,,,3056.0,-21.0,3056.0,-1.2160000000000002
645,50176,77,49,,,,,,,,,,,3758.2244897959185,-20.285714285714285,,,,
650,51200,78,50,0.0030287283,-1.7298552095890045,0.09899648,0.008644254878163338,0.06704851891845465,0.0002474912,-0.0011196427512913942,196,0.5627273321151733,0.06884765625,3742.294117647059,-20.313725490196077,,,,
654,52224,79,51,0.003735178,-1.7047458738088608,0.09897600000000001,0.010325191542506218,0.06074199522845447,0.00024744,-0.0012670763535425067,200,0.6748175621032715,0.066162109375,3740.480769230769,-20.326923076923077,,,,
658,53248,80,52,0.002436552,-1.7040385231375694,0.09895552,0.01057852990925312,0.07354239467531443,0.00024738879999999997,-0.0005059186369180679,204,0.7222945690155029,0.03466796875,3733.7818181818184,-20.345454545454544,,,,
663,54272,81,53,0.0027136207,-1.715968370437622,0.09893504,0.008932888507843018,0.07554268604144454,0.0002473376,-0.0010902156354859471,208,0.6820894479751587,0.06396484375,3726.8928571428573,-20.339285714285715,,,,
667,55296,82,54,0.0020180545,-1.695913016796112,0.09891456,0.04885341227054596,0.11453835153952241,0.0002472864,-0.0012248139246366918,212,0.35914522409439087,0.01025390625,3726.8928571428573,-20.339285714285715,,,,
671,56320,83,55,0.0018228402,-1.7021021246910095,0.09889408,0.029194090515375137,0.09459046879783273,0.0002472352,-0.001322789175901562,216,0.2779618501663208,0.0146484375,3726.8928571428573,-20.339285714285715,,,,
675,57344,84,56,0.0016384452,-1.6889334693551064,0.0988736,0.010232925415039062,0.05212795431725681,0.000247184,-0.0004661433049477637,220,0.4618496894836426,0.037841796875,3726.8928571428573,-20.339285714285715,,,,
679,58368,85,57,0.00046288891,-1.6863568499684334,0.09885312000000002,0.008377190679311752,0.05169131397269666,0.0002471328,0.00018411100609228015,224,0.46606576442718506,0.000244140625,3733.844827586207,-20.344827586206897,,,,
682,59392,87,58,0.0036163877,-1.6833823770284653,0.09883264000000001,0.007733585312962532,0.05170539626851678,0.0002470816,-0.002232809318229556,228,0.7899295687675476,0.11181640625,3716.934426229508,-20.34426229508197,,,,
686,60416,88,59,0.0034462817,-1.6773863583803177,0.09881216000000001,0.011688731610774994,0.06632233504205942,0.0002470304,-0.002107422915287316,232,0.7085057497024536,0.153564453125,3716.1111111111113,-20.349206349206348,,,,
689,61440,89,60,0.0022906163,-1.6904833987355232,0.09879168,0.01945791020989418,0.07192963175475597,0.0002469792,-0.0024706495460122824,236,0.6318241357803345,0.1064453125,3716.1111111111113,-20.349206349206348,,,,
693,62464,90,61,0.002644253,-1.704269140958786,0.0987712,0.01522807963192463,0.09740366274490952,0.000246928,-0.0011542249121703207,240,0.36870694160461426,0.046875,3716.1111111111113,-20.349206349206348,,,,
696,63488,91,62,0.00073415105,-1.7038651704788208,0.09875072000000001,0.012726990506052971,0.0717908563092351,0.0002468768,-0.0005560063873417675,244,0.7862709164619446,0.01123046875,3728.34375,-20.328125,,,,
700,64512,92,63,0.0029538316,-1.683512419462204,0.09873024000000001,0.02177991159260273,0.07621359126642346,0.00024682560000000004,-0.0032187445322051644,248,0.4693096876144409,0.126220703125,3728.34375,-20.328125,,,,
703,65536,93,64,0.0023306357,-1.6593944132328033,0.09870976000000001,0.017106065526604652,0.08285181829705834,0.00024677440000000003,-0.0023761551710776985,252,0.5923681259155273,0.093505859375,3716.716417910448,-20.35820895522388,,,,
706,66560,94,65,0.0028356991,-1.6521397978067398,0.09868928,0.0241624116897583,0.08086401969194412,0.00024672320000000003,-0.0005983371520414948,256,0.715813159942627,0.08349609375,3707.5942028985505,-20.347826086956523,,,,
709,67584,95,66,0.00074233563,-1.6438192948698997,0.0986688,0.012887142598628998,0.06050654919818044,0.000246672,0.00014665827620774508,260,0.7796474099159241,0.01611328125,3707.5942028985505,-20.347826086956523,,,,
712,68608,96,67,0.0010278216,-1.6304550543427467,0.09864832000000001,0.006332607939839363,0.05250167101621628,0.0002466208,-0.0006443409947678447,264,0.7901096940040588,0.00146484375,3719.492957746479,-20.323943661971832,,,,
715,69632,97,68,0.0020318897,-1.6626974046230316,0.09862784000000001,-0.0029643718153238297,0.039115081541240215,0.0002465696,-0.001551338384160772,268,0.826285719871521,0.0625,3716.847222222222,-20.333333333333332,,,,
718,70656,98,69,0.0013445187,-1.66812152415514,0.09860736,0.008666986599564552,0.056516839656978846,0.0002465184,-0.0005995118408463895,272,0.6974653005599976,0.00439453125,3716.847222222222,-20.333333333333332,,,,
721,71680,99,70,0.00043736055,-1.6717978417873383,0.09858688,-0.005704611539840698,0.02269306976813823,0.0002464672,-9.909173240885139e-05,276,0.7434290647506714,0.0,3690.4133333333334,-20.36,,,,
723,72704,100,71,0.0030430618,-1.6921584829688072,0.0985664,0.03412504494190216,0.08093134639784694,0.000246416,-0.0022295756643870845,280,0.7730082869529724,0.112060546875,3690.8947368421054,-20.355263157894736,,,,
726,73728,101,72,0.00071512896,-1.693158395588398,0.09854592000000001,-0.007019583135843277,0.034370350069366395,0.0002463648,8.349580457434058e-05,284,0.8324395418167114,0.000244140625,3688.883116883117,-20.363636363636363,,,,
729,74752,102,73,0.0017136752,-1.7187305316329002,0.09852544,-0.00251852348446846,0.04391671088524163,0.0002463136,-0.0029443149687722325,288,0.796101987361908,0.094970703125,3672.8607594936707,-20.379746835443036,,,,
,75000,,,0.0033039672,-1.7132900059223175,0.09850496,-0.00257718563079834,0.04438490001484752,0.0002462624,-0.0028458759770728648,292,0.7699498534202576,0.06298828125,,,3056.0,-21.0,3056.0,-1.1840000000000002
651,75776,116,74,,,,,,,,,,,3672.8607594936707,-20.379746835443036,,,,
654,76800,117,75,0.0013839572,-1.7147385105490685,0.09848448,0.02754080295562744,0.08080649748444557,0.0002462112,-0.0020228802459314466,296,0.4262363314628601,0.030517578125,3668.15,-20.3875,,,,
657,77824,118,76,0.0023730274,-1.712562419474125,0.098464,0.009551037102937698,0.06706646177917719,0.00024616,-0.0021937302371952683,300,0.6523103713989258,0.054443359375,3655.5,-20.402439024390244,,,,
660,78848,119,77,0.0037026736,-1.7003757655620575,0.09844352,0.004576127976179123,0.04680144530721009,0.0002461088,-4.27807099185884e-05,304,0.7766497135162354,0.109375,3646.2619047619046,-20.404761904761905,,,,
663,79872,120,78,0.00031721545,-1.7117936983704567,0.09842304,0.03271649777889252,0.10709466272965074,0.0002460576,0.00035075191408395767,308,0.5750038623809814,0.000732421875,3646.2619047619046,-20.404761904761905,,,,
666,80896,121,79,0.0012651973,-1.7163997367024422,0.09840256000000001,0.010204978287220001,0.07089478569105268,0.00024600640000000003,-0.0018519432342145592,312,0.4877513647079468,0.016845703125,3638.767441860465,-20.406976744186046,,,,
668,81920,122,80,0.0016668683,-1.7272428646683693,0.09838208000000001,0.022963780909776688,0.07440737448632717,0.0002459552,-0.001047646946972236,316,0.543007493019104,0.01611328125,3638.735632183908,-20.413793103448278,,,,
671,82944,123,81,0.0019045083,-1.7506108283996582,0.09836160000000001,0.008244652301073074,0.07642435329034925,0.000245904,-0.00182910670991987,320,0.49012458324432373,0.00634765625,3638.735632183908,-20.413793103448278,,,,
674,83968,124,82,0.002984806,-1.7582310438156128,0.09834112,0.012059161439538002,0.07578373374417424,0.0002458528,-0.003909301507519558,324,0.4349002242088318,0.081787109375,3638.375,-20.40909090909091,,,,
677,84992,125,83,0.0020310325,-1.7509243413805962,0.09832064000000001,0.014837464317679405,0.07370577310211957,0.0002458016,-0.001438955165212974,328,0.5292945504188538,0.030029296875,3638.375,-20.40909090909091,,,,
679,86016,126,84,0.0007355636,-1.7526754215359688,0.09830016000000001,0.0047654565423727036,0.05910478415898979,0.0002457504,-0.0007210162875708193,332,0.5137277841567993,0.0,3643.3444444444444,-20.4,,,,
682,87040,127,85,0.0017260434,-1.7579624354839325,0.09827968000000001,0.005216000601649284,0.07882671663537621,0.0002456992,-0.0014822696975897998,336,0.6717408299446106,0.001953125,3641.913043478261,-20.402173913043477,,,,
684,88064,128,86,0.0030896459,-1.724096953868866,0.0982592,0.01263485662639141,0.06484417291358113,0.000245648,-0.00041643698932603,340,0.7776721715927124,0.0771484375,3654.4086021505377,-20.408602150537636,,,,
686,89088,129,87,0.0024678693,-1.7364211529493332,0.09823872,0.02295754849910736,0.09369137464091182,0.0002455968,-0.001937929104315117,344,0.35558223724365234,0.04638671875,3654.3829787234044,-20.414893617021278,,,,
689,90112,130,88,0.0018687525,-1.7326071113348007,0.09821824000000001,0.005310295149683952,0.06341168330982327,0.0002455456,-0.0007299026183318347,348,0.7488887906074524,0.00634765625,3664.1473684210528,-20.410526315789475,,,,
691,91136,131,89,0.0036380969,-1.7598459124565125,0.09819776000000001,0.0033527109771966934,0.055362345883622766,0.0002454944,-0.003287957573775202,352,0.7345530390739441,0.136962890625,3663.6145833333335,-20.40625,,,,
694,92160,132,90,0.00090344314,-1.7612913846969604,0.09817728,0.020247003063559532,0.0806109425611794,0.0002454432,-0.0009189436968881637,356,0.5486570596694946,0.0,3663.6145833333335,-20.40625,,,,
696,93184,133,91,0.00081517885,-1.751975767314434,0.0981568,0.026384834200143814,0.09743028739467263,0.000245392,-0.00043957532034255564,360,0.3269694447517395,0.000732421875,3663.453608247423,-20.412371134020617,,,,
698,94208,134,92,0.0013862131,-1.7419476434588432,0.09813632,0.022671610116958618,0.0780834536999464,0.0002453408,-0.0008373779710382223,364,0.5588160753250122,0.065185546875,3662.939393939394,-20.414141414141415,,,,
700,95232,135,93,0.00018038467,-1.748965598642826,0.09811584000000001,0.029687659814953804,0.0929460795596242,0.0002452896,0.00031833944376558065,368,0.6681845188140869,0.0,3669.61,-20.41,,,,
703,96256,136,94,0.002773182,-1.7307967841625214,0.09809536,0.009878365322947502,0.07724087778478861,0.0002452384,-0.00251280446536839,372,0.6569750308990479,0.059326171875,3669.61,-20.41,,,,
705,97280,137,95,0.0034693829,-1.7214397937059402,0.09807488,-0.007152993232011795,0.03935334179550409,0.0002451872,-0.0030038038676138967,376,0.7452523708343506,0.09033203125,3680.64,-20.39,,,,
707,98304,138,96,0.004484064,-1.7375018298625946,0.0980544,-0.002304486930370331,0.043483086046762764,0.000245136,-0.005105847027152777,380,0.8253204822540283,0.27880859375,3680.64,-20.39,,,,
709,99328,139,97,0.0022908913,-1.7314222678542137,0.09803392,0.0015096943825483322,0.042194180423393846,0.0002450848,-0.003300693933852017,384,0.7165895104408264,0.13134765625,3702.93,-20.34,,,,
,100000,,,0.0022533927,-1.7297575697302818,0.09801344000000001,0.008982628583908081,0.07076378143392503,0.0002450336,-0.0024513464013580233,388,0.8042675852775574,0.07568359375,,,3056.0,-21.0,3056.0,-1.2000000000000002
652,100352,153,98,,,,,,,,,,,3694.96,-20.35,,,,
654,101376,154,99,0.0021203586,-1.72775150090456,0.09799296,0.01451960764825344,0.0623119818046689,0.0002449824,-0.0003650318249128759,392,0.6669190526008606,0.04443359375,3664.88,-20.37,,,,
