time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/approx_kl,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/loss,train/explained_variance,train/clip_range,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_reward,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward
1,1024,2,439,,,,,,,,,,,,,,,,
2,2048,4,479,0.0016155087,0.3771376581862569,4,-1.7904182821512222,-0.001465513021685183,0.0002499488,0.01788654737174511,-0.015395760536193848,0.09997952,0.031982421875,,,,,,
3,3072,5,579,0.002947495,0.14646425563842058,8,-1.7875043600797653,-0.003029251311090775,0.0002498976,0.051774878054857254,0.006200850009918213,0.09995904,0.059814453125,,,,,,
4,4096,6,647,0.0036158925,0.1600512284785509,12,-1.7737441509962082,-0.0030840825638733804,0.0002498464,0.04270134121179581,0.0030335187911987305,0.09993856000000001,0.099365234375,,,,,,
5,5120,7,696,0.0010197752,0.11501609114930034,16,-1.7737574949860573,-0.0004999756929464638,0.0002497952,0.030662942677736282,0.00844508409500122,0.09991808,0.0,,,,,,
6,6144,8,733,0.0023199643,0.12652906961739063,20,-1.7748702242970467,-0.0015098520671017468,0.000249744,0.030503027141094208,0.010204017162322998,0.0998976,0.014404296875,,,,,,
7,7168,9,759,0.0012516836,0.10747081786394119,24,-1.7824017405509949,-0.0011825328692793846,0.0002496928,0.029745202511548996,0.035365939140319824,0.09987712,0.0,-20.333333333333332,3463.0,,,,
8,8192,10,781,0.0011702025,0.1168653997592628,28,-1.7829136401414871,-0.0012933212565258145,0.0002496416,0.027987023815512657,-0.016861438751220703,0.09985664,0.001708984375,-19.833333333333332,3676.6666666666665,,,,
9,9216,11,799,0.003037272,0.10137347411364317,32,-1.766642265021801,-0.001395932340528816,0.0002495904,0.023964641615748405,0.01728755235671997,0.09983616000000001,0.1083984375,-19.875,3842.5,,,,
10,10240,12,815,0.0015745354,0.0955691090784967,36,-1.7651309445500374,-0.0012901080772280693,0.00024953919999999997,0.024812661111354828,0.02768838405609131,0.09981568,0.013916015625,-19.875,3842.5,,,,
11,11264,13,829,0.0021211023,0.13541627349331975,40,-1.7448007985949516,-0.0019169792940374464,0.00024948799999999997,0.04717326909303665,0.02389359474182129,0.0997952,0.0888671875,-19.875,3842.5,,,,
12,12288,14,840,0.0029189372,0.09712453838437796,44,-1.7306827828288078,-0.0026492440956644714,0.0002494368,0.017591426149010658,0.09444403648376465,0.09977472,0.083984375,-19.875,3842.5,,,,
13,13312,15,850,0.00072104717,0.10310849733650684,48,-1.7238284945487976,-9.447352204006165e-05,0.0002493856,0.034733615815639496,0.0994216799736023,0.09975424000000001,0.0,-20.0,3763.1111111111113,,,,
14,14336,16,857,0.002098158,0.08486044639721513,52,-1.727286472916603,-0.0008210867526941001,0.0002493344,0.029933007434010506,0.19791489839553833,0.09973376,0.02392578125,-20.166666666666668,3681.5833333333335,,,,
15,15360,17,865,0.002922568,0.09392003621906042,56,-1.7133887484669685,-0.00167328113457188,0.0002492832,0.03248825669288635,0.18321818113327026,0.09971328000000002,0.048828125,-20.23076923076923,3639.230769230769,,,,
16,16384,18,872,0.0029122296,0.0827772794291377,60,-1.6844052597880363,-0.00012427708134055138,0.000249232,0.02514246292412281,0.12715458869934082,0.09969280000000001,0.189453125,-20.266666666666666,3618.4666666666667,,,,
17,17408,19,878,0.00125412,0.09578390000388026,64,-1.7149156779050827,-0.0012641216162592173,0.0002491808,0.022766288369894028,0.2512522339820862,0.09967232000000001,0.007080078125,-20.25,3677.5625,,,,
18,18432,20,883,0.0028744438,0.06529668881557882,68,-1.7384855449199677,-0.0016979635984171182,0.0002491296,0.009439613670110703,0.35408443212509155,0.09965184,0.09716796875,-20.25,3677.5625,,,,
19,19456,21,888,0.0027106053,0.07298526237718761,72,-1.723713219165802,-0.0032473478640895337,0.0002490784,0.009694928303360939,0.45130598545074463,0.09963136,0.15087890625,-20.294117647058822,3645.4117647058824,,,,
20,20480,22,892,0.0024823034,0.08611157722771168,76,-1.7058143466711044,-0.0036500482237897813,0.0002490272,0.0224287249147892,0.39926546812057495,0.09961088000000001,0.10400390625,-20.36842105263158,3608.0526315789475,,,,
21,21504,23,896,0.0013795685,0.06742017297074199,80,-1.6971387192606926,-0.00030043849255889654,0.000248976,0.02279544807970524,0.44343453645706177,0.09959040000000001,0.011474609375,-20.428571428571427,3590.5238095238096,,,,
22,22528,25,900,0.0055435505,0.0870008715428412,84,-1.67344568669796,-0.002160254865884781,0.00024892480000000003,0.02995251677930355,0.2869495749473572,0.09956992,0.224365234375,-20.454545454545453,3569.6363636363635,,,,
23,23552,26,904,0.0034802738,0.07672727154567838,88,-1.665623776614666,-0.002583042427431792,0.00024887360000000003,0.01784694753587246,0.2794603109359741,0.09954944,0.169677734375,-20.47826086956522,3578.608695652174,,,,
