time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/approx_kl,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_object_reward,eval/mean_score_reward,eval/mean_score_ep_length
2,1024,1,440,,,,,,,,,,,,,,,,
4,2048,2,480,0.09997952,-1.790451057255268,-0.0028487451490946114,0.027004482224583626,0.3805970991961658,0.0002499488,0.007690727710723877,0.054931640625,0.0024415245,4,,,,,,
5,3072,3,581,0.09995904,-1.7902830019593239,-0.0030785707058385015,0.032494597136974335,0.1259683733806014,0.0002498976,0.00987917184829712,0.020263671875,0.0015004738,8,,,,,,
6,4096,4,649,0.09993856000000001,-1.7909901589155197,-0.00010273914085701108,0.05745077133178711,0.1345844753086567,0.0002498464,0.008240282535552979,0.0,0.00043743447,12,,,,,,
7,5120,5,699,0.09991808,-1.7907217890024185,0.0002664418425410986,0.03444443643093109,0.10717055620625615,0.0002497952,0.019297301769256592,0.0,0.00022891589,16,,,,,,
8,6144,6,736,0.0998976,-1.7907827720046043,-0.00048536990652792156,0.03975262492895126,0.12456498946994543,0.000249744,0.028065741062164307,0.0,0.0004955114,20,,,,,,
9,7168,7,764,0.09987712,-1.7886300086975098,-0.0014153648226056248,0.04028543084859848,0.12483737664297223,0.0002496928,0.03709244728088379,0.0,0.0014300793,24,-20.5,3267.5,,,,
10,8192,8,785,0.09985664,-1.7799131721258163,-2.8707581805065274e-05,0.026658186689019203,0.10209861816838384,0.0002496416,0.03572624921798706,0.0,0.0016784994,28,-19.8,3603.0,,,,
11,9216,9,804,0.09983616000000001,-1.7757936120033264,-0.00016573668108321726,0.03785043954849243,0.11031918693333864,0.0002495904,0.03606694936752319,0.0,0.00062102196,32,-19.857142857142858,3838.0,,,,
12,10240,10,820,0.09981568,-1.775569424033165,-0.0015099312586244196,0.025714265182614326,0.11031851265579462,0.00024953919999999997,0.07666319608688354,0.032958984375,0.0016255111,36,-19.625,3971.125,,,,
