#{"t_start": 1752830746.5580034, "env_id": "SafeCartPole-Arushi-v0"}
r,l,t,c
19.0,19,1.183264,15.0
36.0,36,1.214627,19.0
14.0,14,1.226785,14.0
14.0,14,1.238922,14.0
55.0,55,1.286655,36.0
10.0,10,1.295403,10.0
29.0,29,1.320537,27.0
9.0,9,1.328385,9.0
9.0,9,1.336235,7.0
47.0,47,1.376935,47.0
19.0,19,1.393435,14.0
17.0,17,1.408225,15.0
21.0,21,1.426374,21.0
17.0,17,1.441061,17.0
20.0,20,1.4584,16.0
11.0,11,1.467944,11.0
26.0,26,1.490537,26.0
22.0,22,1.509465,22.0
43.0,43,1.546507,43.0
15.0,15,1.559509,15.0
17.0,17,1.574126,14.0
17.0,17,1.588736,15.0
28.0,28,1.612741,25.0
10.0,10,1.621359,9.0
11.0,11,1.630816,9.0
27.0,27,1.653903,27.0
20.0,20,1.671009,20.0
12.0,12,1.68134,12.0
22.0,22,1.700787,22.0
20.0,20,1.718073,20.0
18.0,18,1.733538,18.0
18.0,18,1.748946,16.0
13.0,13,1.760179,9.0
16.0,16,1.773887,16.0
16.0,16,1.787735,16.0
23.0,23,1.80756,23.0
47.0,47,1.847747,38.0
13.0,13,1.858932,13.0
26.0,26,1.8813,26.0
10.0,10,1.889961,10.0
10.0,10,1.898608,10.0
12.0,12,1.908933,12.0
10.0,10,1.917575,8.0
26.0,26,1.939827,26.0
21.0,21,1.957826,21.0
67.0,67,2.015048,41.0
20.0,20,2.032192,19.0
19.0,19,2.04873,19.0
10.0,10,2.057546,8.0
19.0,19,2.074127,19.0
21.0,21,2.099327,21.0
15.0,15,2.112432,11.0
22.0,22,2.13151,16.0
13.0,13,2.14264,11.0
16.0,16,2.156237,16.0
13.0,13,2.167252,12.0
12.0,12,2.177442,12.0
18.0,18,2.192691,13.0
13.0,13,2.203709,13.0
24.0,24,2.22416,24.0
38.0,38,2.256985,38.0
44.0,44,2.294329,44.0
19.0,19,2.310505,17.0
11.0,11,2.319914,9.0
23.0,23,2.339312,23.0
28.0,28,2.362865,28.0
12.0,12,2.372974,10.0
17.0,17,2.387415,16.0
11.0,11,2.39677,11.0
17.0,17,2.411252,17.0
17.0,17,2.425718,16.0
35.0,35,2.45526,35.0
19.0,19,2.47132,19.0
20.0,20,2.488211,20.0
30.0,30,2.513526,30.0
71.0,71,2.573354,67.0
23.0,23,2.592843,23.0
32.0,32,2.619823,26.0
28.0,28,2.643393,28.0
13.0,13,2.654344,13.0
20.0,20,2.67116,17.0
55.0,55,2.716854,45.0
9.0,9,2.724508,8.0
14.0,14,2.736614,9.0
18.0,18,2.752219,18.0
16.0,16,2.766371,16.0
27.0,27,2.790767,27.0
10.0,10,2.7999,10.0
32.0,32,2.828591,32.0
83.0,83,2.902086,64.0
14.0,14,2.914499,13.0
66.0,66,3.468082,66.0
14.0,14,3.479937,14.0
20.0,20,3.496861,20.0
57.0,57,3.544925,57.0
21.0,21,3.562679,21.0
17.0,17,3.577045,13.0
39.0,39,3.60995,39.0
17.0,17,3.624314,17.0
13.0,13,3.635346,11.0
15.0,15,3.647947,15.0
33.0,33,3.675589,33.0
21.0,21,3.69319,21.0
14.0,14,3.704917,14.0
28.0,28,3.728288,28.0
22.0,22,3.746704,22.0
38.0,38,3.778436,38.0
44.0,44,3.815168,41.0
28.0,28,3.838561,24.0
32.0,32,3.865305,26.0
34.0,34,3.893751,24.0
35.0,35,3.923,32.0
23.0,23,3.942225,23.0
24.0,24,3.962337,12.0
57.0,57,4.009774,57.0
15.0,15,4.022344,13.0
15.0,15,4.034897,10.0
15.0,15,4.047492,15.0
25.0,25,4.068383,25.0
22.0,22,4.086784,22.0
18.0,18,4.101997,11.0
55.0,55,4.148072,55.0
11.0,11,4.157324,9.0
14.0,14,4.169075,9.0
23.0,23,4.188323,23.0
13.0,13,4.199188,13.0
15.0,15,4.211718,15.0
19.0,19,4.227602,16.0
14.0,14,4.239363,13.0
25.0,25,4.260273,22.0
29.0,29,4.285053,29.0
30.0,30,4.310712,25.0
9.0,9,4.318441,9.0
19.0,19,4.334479,19.0
56.0,56,4.381932,56.0
19.0,19,4.398011,14.0
13.0,13,4.409032,13.0
22.0,22,4.427687,15.0
27.0,27,4.450583,26.0
28.0,28,4.474326,28.0
17.0,17,4.488721,15.0
15.0,15,4.501457,15.0
15.0,15,4.51408,13.0
23.0,23,4.533327,23.0
17.0,17,4.547658,17.0
12.0,12,4.557732,12.0
24.0,24,4.577843,24.0
11.0,11,4.587102,9.0
17.0,17,4.601324,12.0
19.0,19,4.617262,15.0
30.0,30,4.642291,30.0
33.0,33,4.669869,33.0
11.0,11,4.679103,11.0
14.0,14,4.690821,14.0
16.0,16,4.704215,16.0
29.0,29,4.728399,23.0
9.0,9,4.735973,9.0
16.0,16,4.749346,16.0
34.0,34,4.778424,34.0
23.0,23,4.798457,23.0
20.0,20,4.815843,19.0
13.0,13,4.827144,13.0
14.0,14,4.839254,14.0
18.0,18,4.854888,17.0
15.0,15,4.867938,14.0
30.0,30,4.894188,30.0
14.0,14,4.906526,14.0
14.0,14,4.918738,14.0
13.0,13,4.93003,13.0
39.0,39,4.963725,39.0
10.0,10,4.972491,10.0
43.0,43,5.00969,32.0
35.0,35,5.04002,35.0
21.0,21,5.058204,21.0
14.0,14,5.070356,8.0
22.0,22,5.089426,22.0
15.0,15,5.102455,15.0
27.0,27,5.125375,25.0
16.0,16,5.138816,16.0
16.0,16,5.152245,16.0
15.0,15,5.16484,13.0
19.0,19,5.61499,14.0
15.0,15,5.62758,15.0
23.0,23,5.646773,23.0
37.0,37,5.677735,37.0
30.0,30,5.703016,30.0
10.0,10,5.711455,10.0
35.0,35,5.740628,35.0
