#{"t_start": 1752505676.7818449, "env_id": "SafeCartPole-v0"}
r,l,t,c
34.0,34,1.26981,0.0
26.0,26,1.292911,0.0
13.0,13,1.30443,0.0
45.0,45,1.344079,0.0
27.0,27,1.367971,0.0
30.0,30,1.394251,0.0
72.0,72,1.457133,0.0
61.0,61,1.51049,0.0
12.0,12,1.52106,0.0
22.0,22,1.540342,0.0
19.0,19,1.556993,0.0
16.0,16,1.571073,0.0
16.0,16,1.585246,0.0
34.0,34,1.615005,0.0
11.0,11,1.62466,0.0
12.0,12,1.635217,0.0
11.0,11,1.644823,0.0
12.0,12,1.655346,0.0
13.0,13,1.666651,0.0
10.0,10,1.67542,0.0
15.0,15,1.688509,0.0
31.0,31,1.715228,0.0
17.0,17,1.729937,0.0
19.0,19,1.746445,0.0
53.0,53,1.792291,0.0
16.0,16,1.80619,0.0
22.0,22,1.825235,0.0
21.0,21,1.843438,0.0
19.0,19,1.859923,0.0
15.0,15,1.873314,0.0
28.0,28,1.897786,0.0
13.0,13,1.909071,0.0
22.0,22,1.92801,0.0
39.0,39,1.961756,0.0
13.0,13,1.973038,0.0
22.0,22,1.992115,0.0
14.0,14,2.004302,0.0
27.0,27,2.027649,0.0
33.0,33,2.056198,0.0
13.0,13,2.067477,0.0
14.0,14,2.07963,0.0
68.0,68,2.138509,0.0
14.0,14,2.150647,0.0
10.0,10,2.159385,0.0
26.0,26,2.181846,0.0
18.0,18,2.197407,0.0
22.0,22,2.216433,0.0
14.0,14,2.228669,0.0
19.0,19,2.245171,0.0
15.0,15,2.25818,0.0
12.0,12,2.268567,0.0
18.0,18,2.284136,0.0
31.0,31,2.310865,0.0
26.0,26,2.333289,0.0
31.0,31,2.359982,0.0
11.0,11,2.369481,0.0
36.0,36,2.400537,0.0
67.0,67,2.45824,0.0
17.0,17,2.472952,0.0
19.0,19,2.489393,0.0
24.0,24,2.510057,0.0
26.0,26,2.532602,0.0
13.0,13,2.543997,0.0
29.0,29,2.568962,0.0
18.0,18,2.584493,0.0
14.0,14,2.596589,0.0
11.0,11,2.606092,0.0
30.0,30,2.631876,0.0
14.0,14,2.643929,0.0
62.0,62,2.69727,0.0
15.0,15,2.710206,0.0
20.0,20,2.727428,0.0
15.0,15,2.740368,0.0
23.0,23,2.760231,0.0
14.0,14,2.772369,0.0
12.0,12,2.782752,0.0
17.0,17,2.797495,0.0
15.0,15,2.810429,0.0
27.0,27,2.833634,0.0
31.0,31,2.86035,0.0
19.0,19,2.876798,0.0
29.0,29,2.901832,0.0
17.0,17,2.916483,0.0
15.0,15,2.929377,0.0
18.0,18,2.944861,0.0
48.0,48,2.986109,0.0
16.0,16,2.999933,0.0
40.0,40,3.561188,0.0
20.0,20,3.578769,0.0
12.0,12,3.58924,0.0
21.0,21,3.607528,0.0
14.0,14,3.619655,0.0
32.0,32,3.647575,0.0
33.0,33,3.676407,0.0
37.0,37,3.708445,0.0
20.0,20,3.72582,0.0
27.0,27,3.749237,0.0
16.0,16,3.763126,0.0
52.0,52,3.808465,0.0
26.0,26,3.830965,0.0
12.0,12,3.841349,0.0
32.0,32,3.868945,0.0
20.0,20,3.886255,0.0
30.0,30,3.914209,0.0
21.0,21,3.937954,0.0
68.0,68,4.003623,0.0
14.0,14,4.016436,0.0
14.0,14,4.029222,0.0
21.0,21,4.048316,0.0
21.0,21,4.067578,0.0
54.0,54,4.116692,0.0
61.0,61,4.171987,0.0
27.0,27,4.196394,0.0
12.0,12,4.207295,0.0
14.0,14,4.220008,0.0
23.0,23,4.240865,0.0
15.0,15,4.254507,0.0
26.0,26,4.278358,0.0
