#{"t_start": 1752536461.294913, "env_id": "SafeCartPole-v0"}
r,l,t,c
11.0,11,1.237148,11.0
16.0,16,1.251374,16.0
19.0,19,1.268082,19.0
23.0,23,1.288306,19.0
9.0,9,1.296245,9.0
23.0,23,1.316472,23.0
21.0,21,1.334923,21.0
76.0,76,1.40204,76.0
11.0,11,1.411745,7.0
32.0,32,1.43987,32.0
23.0,23,1.460077,19.0
35.0,35,1.490849,35.0
27.0,27,1.514547,27.0
18.0,18,1.530366,18.0
14.0,14,1.542665,11.0
19.0,19,1.559352,13.0
19.0,19,1.576006,19.0
17.0,17,1.590945,17.0
13.0,13,1.602358,11.0
27.0,27,1.625992,27.0
18.0,18,1.641774,17.0
13.0,13,1.653172,10.0
32.0,32,1.681159,32.0
32.0,32,1.70871,32.0
12.0,12,1.719143,12.0
11.0,11,1.728687,11.0
15.0,15,1.741725,13.0
29.0,29,1.766801,29.0
14.0,14,1.778898,13.0
15.0,15,1.791836,12.0
24.0,24,1.812459,24.0
26.0,26,1.834787,25.0
30.0,30,1.860579,30.0
13.0,13,1.871817,13.0
37.0,37,1.903584,37.0
30.0,30,1.929479,30.0
9.0,9,1.937293,8.0
42.0,42,1.973444,38.0
17.0,17,1.988252,12.0
27.0,27,2.011498,22.0
9.0,9,2.019294,7.0
18.0,18,2.034962,18.0
18.0,18,2.050921,18.0
17.0,17,2.06578,17.0
20.0,20,2.083209,14.0
10.0,10,2.091964,10.0
15.0,15,2.105025,15.0
10.0,10,2.113779,10.0
25.0,25,2.13549,25.0
20.0,20,2.152866,20.0
13.0,13,2.164186,9.0
15.0,15,2.177209,13.0
30.0,30,2.203137,30.0
15.0,15,2.216159,9.0
30.0,30,2.241947,30.0
15.0,15,2.254956,13.0
28.0,28,2.279061,22.0
13.0,13,2.290299,12.0
27.0,27,2.313667,27.0
11.0,11,2.323211,8.0
18.0,18,2.338777,13.0
24.0,24,2.359517,16.0
11.0,11,2.369039,11.0
30.0,30,2.394856,30.0
21.0,21,2.412966,17.0
13.0,13,2.424273,13.0
21.0,21,2.442341,21.0
14.0,14,2.454414,13.0
8.0,8,2.461317,7.0
23.0,23,2.481157,23.0
15.0,15,2.494176,15.0
36.0,36,2.525156,36.0
19.0,19,2.54153,15.0
11.0,11,2.551074,11.0
12.0,12,2.561457,9.0
14.0,14,2.573553,13.0
25.0,25,2.59512,25.0
46.0,46,2.634724,46.0
33.0,33,2.663052,30.0
14.0,14,2.675121,10.0
26.0,26,2.697361,26.0
25.0,25,2.718961,25.0
19.0,19,2.735446,19.0
9.0,9,2.74331,9.0
22.0,22,2.762422,18.0
9.0,9,2.770282,7.0
15.0,15,2.783241,13.0
27.0,27,2.80662,23.0
20.0,20,2.823817,20.0
11.0,11,2.833329,9.0
17.0,17,2.848033,13.0
17.0,17,2.862785,17.0
20.0,20,2.880018,20.0
18.0,18,2.895501,12.0
19.0,19,2.912089,19.0
15.0,15,2.925073,15.0
29.0,29,2.950152,29.0
19.0,19,2.966822,16.0
33.0,33,2.995409,27.0
13.0,13,3.471066,13.0
11.0,11,3.480677,8.0
61.0,61,3.53303,61.0
21.0,21,3.551027,21.0
14.0,14,3.563078,13.0
14.0,14,3.575185,14.0
12.0,12,3.585538,12.0
21.0,21,3.603529,21.0
12.0,12,3.614059,12.0
17.0,17,3.628726,11.0
14.0,14,3.640771,14.0
51.0,51,3.684337,51.0
47.0,47,3.724558,47.0
14.0,14,3.736693,11.0
75.0,75,3.801025,34.0
17.0,17,3.815598,17.0
16.0,16,3.829303,16.0
16.0,16,3.843065,16.0
29.0,29,3.868193,29.0
20.0,20,3.885418,20.0
24.0,24,3.905963,19.0
40.0,40,3.940284,32.0
32.0,32,3.96775,32.0
17.0,17,3.982342,17.0
18.0,18,3.997774,15.0
28.0,28,4.021784,28.0
25.0,25,4.043242,22.0
14.0,14,4.055293,14.0
14.0,14,4.067394,14.0
19.0,19,4.084252,17.0
62.0,62,4.138326,62.0
31.0,31,4.165349,31.0
30.0,30,4.191474,30.0
12.0,12,4.201976,10.0
32.0,32,4.229949,28.0
21.0,21,4.248204,16.0
17.0,17,4.263058,17.0
42.0,42,4.299236,36.0
13.0,13,4.310493,11.0
16.0,16,4.324333,13.0
41.0,41,4.359697,41.0
10.0,10,4.368361,10.0
27.0,27,4.391789,27.0
38.0,38,4.424696,31.0
26.0,26,4.44721,19.0
42.0,42,4.483378,36.0
15.0,15,4.496335,11.0
32.0,32,4.523959,26.0
13.0,13,4.535201,10.0
24.0,24,4.555998,24.0
12.0,12,4.566297,10.0
19.0,19,4.582572,19.0
16.0,16,4.596398,16.0
16.0,16,4.610231,16.0
52.0,52,4.655081,52.0
18.0,18,4.670741,13.0
24.0,24,4.691363,24.0
45.0,45,4.730041,35.0
12.0,12,4.740461,11.0
45.0,45,4.779023,45.0
20.0,20,4.796123,20.0
63.0,63,4.85007,47.0
10.0,10,4.858771,8.0
15.0,15,4.871708,12.0
26.0,26,4.893972,26.0
31.0,31,4.920504,31.0
16.0,16,4.934443,16.0
26.0,26,4.956871,17.0
50.0,50,4.999717,42.0
35.0,35,5.029719,35.0
19.0,19,5.04601,19.0
29.0,29,5.070905,29.0
34.0,34,5.100114,34.0
28.0,28,5.124171,28.0
16.0,16,5.137941,12.0
15.0,15,5.150872,15.0
20.0,20,5.168079,20.0
20.0,20,5.18522,20.0
62.0,62,5.643938,62.0
57.0,57,5.692752,28.0
19.0,19,5.708994,17.0
26.0,26,5.731378,19.0
21.0,21,5.749419,18.0
24.0,24,5.77014,24.0
53.0,53,5.815406,53.0
42.0,42,5.851484,42.0
23.0,23,5.871177,17.0
30.0,30,5.896778,30.0
24.0,24,5.917289,24.0
17.0,17,5.931863,11.0
15.0,15,5.944748,15.0
11.0,11,5.954247,7.0
49.0,49,5.996059,49.0
16.0,16,6.009819,10.0
