#{"t_start": 1752534721.4941373, "env_id": "SafeCartPole-v0"}
r,l,t,c
0.0,11,1.272558,0.0
0.0,11,1.28275,0.0
0.0,13,1.294566,0.0
0.0,11,1.304498,0.0
0.0,14,1.317177,0.0
0.0,12,1.328078,0.0
0.0,9,1.336274,0.0
0.0,12,1.347173,0.0
0.0,16,1.361658,0.0
0.0,12,1.372595,0.0
0.0,16,1.387126,0.0
0.0,19,1.404191,0.0
0.0,79,1.474825,0.0
0.0,14,1.487429,0.0
0.0,35,1.518821,0.0
0.0,11,1.528726,0.0
0.0,11,1.538646,0.0
0.0,14,1.551269,0.0
0.0,25,1.573717,0.0
0.0,22,1.593424,0.0
0.0,22,1.613226,0.0
0.0,14,1.62581,0.0
0.0,15,1.639246,0.0
0.0,27,1.663453,0.0
0.0,16,1.677793,0.0
0.0,9,1.685854,0.0
0.0,30,1.712442,0.0
0.0,48,1.754725,0.0
0.0,31,1.782256,0.0
0.0,10,1.791164,0.0
0.0,14,1.803507,0.0
0.0,55,1.851686,0.0
0.0,9,1.859637,0.0
0.0,14,1.871969,0.0
0.0,21,1.890492,0.0
0.0,17,1.905423,0.0
0.0,30,1.931752,0.0
0.0,9,1.939765,0.0
0.0,13,1.95132,0.0
0.0,12,1.962474,0.0
0.0,37,1.995494,0.0
0.0,28,2.020323,0.0
0.0,14,2.032779,0.0
0.0,29,2.058391,0.0
0.0,52,2.104087,0.0
0.0,23,2.124375,0.0
0.0,17,2.139469,0.0
0.0,24,2.160662,0.0
0.0,15,2.174006,0.0
0.0,11,2.183808,0.0
0.0,19,2.200492,0.0
0.0,43,2.238153,0.0
0.0,24,2.259412,0.0
0.0,29,2.28517,0.0
0.0,58,2.336195,0.0
0.0,11,2.345928,0.0
0.0,28,2.37056,0.0
0.0,22,2.390057,0.0
0.0,30,2.4165,0.0
0.0,13,2.428021,0.0
0.0,26,2.45088,0.0
0.0,16,2.465001,0.0
0.0,20,2.482635,0.0
0.0,21,2.501186,0.0
0.0,15,2.514391,0.0
0.0,17,2.529404,0.0
0.0,18,2.545307,0.0
0.0,11,2.555073,0.0
0.0,19,2.571809,0.0
0.0,51,2.616761,0.0
0.0,14,2.629124,0.0
0.0,18,2.644947,0.0
0.0,44,2.683724,0.0
0.0,21,2.702215,0.0
0.0,22,2.721467,0.0
0.0,32,2.749651,0.0
0.0,16,2.763852,0.0
0.0,42,2.800858,0.0
0.0,14,2.813251,0.0
0.0,17,2.828177,0.0
0.0,16,2.842269,0.0
0.0,14,2.854631,0.0
0.0,20,2.872244,0.0
0.0,24,2.893415,0.0
0.0,32,2.921584,0.0
0.0,13,2.933074,0.0
0.0,10,2.941998,0.0
0.0,16,2.956163,0.0
0.0,56,3.005994,0.0
0.0,23,3.026444,0.0
0.0,27,3.050373,0.0
0.0,10,3.05928,0.0
0.0,26,3.54981,0.0
0.0,60,3.603188,0.0
0.0,23,3.623464,0.0
0.0,11,3.633173,0.0
0.0,18,3.648997,0.0
0.0,14,3.661394,0.0
0.0,13,3.672861,0.0
0.0,12,3.683525,0.0
0.0,25,3.705404,0.0
0.0,17,3.720561,0.0
0.0,33,3.750457,0.0
0.0,9,3.758562,0.0
0.0,19,3.776986,0.0
0.0,41,3.813325,0.0
0.0,17,3.828435,0.0
0.0,23,3.848646,0.0
0.0,14,3.861036,0.0
0.0,38,3.894605,0.0
0.0,11,3.904368,0.0
0.0,42,3.941389,0.0
0.0,23,3.961768,0.0
0.0,26,3.984867,0.0
0.0,14,3.997389,0.0
0.0,24,4.018506,0.0
0.0,16,4.032685,0.0
0.0,20,4.050438,0.0
0.0,15,4.063714,0.0
0.0,10,4.072625,0.0
0.0,14,4.085095,0.0
0.0,22,4.104574,0.0
0.0,17,4.119598,0.0
0.0,25,4.14166,0.0
0.0,20,4.15933,0.0
0.0,9,4.167322,0.0
0.0,15,4.180658,0.0
0.0,10,4.189616,0.0
0.0,18,4.205559,0.0
0.0,12,4.216184,0.0
0.0,12,4.226923,0.0
0.0,37,4.259543,0.0
0.0,42,4.296615,0.0
0.0,11,4.306332,0.0
0.0,15,4.31957,0.0
0.0,15,4.332785,0.0
0.0,12,4.343445,0.0
0.0,15,4.356972,0.0
0.0,20,4.374711,0.0
0.0,20,4.392496,0.0
0.0,12,4.403064,0.0
0.0,19,4.419736,0.0
0.0,14,4.432166,0.0
0.0,11,4.441913,0.0
0.0,19,4.458575,0.0
0.0,12,4.469147,0.0
0.0,20,4.486913,0.0
0.0,16,4.501063,0.0
0.0,8,4.508215,0.0
0.0,31,4.535497,0.0
0.0,38,4.568976,0.0
0.0,17,4.58399,0.0
0.0,14,4.596492,0.0
0.0,34,4.626438,0.0
0.0,26,4.649266,0.0
0.0,16,4.663408,0.0
0.0,23,4.683809,0.0
0.0,26,4.706826,0.0
0.0,17,4.721874,0.0
0.0,16,4.736119,0.0
0.0,15,4.749617,0.0
0.0,32,4.777878,0.0
0.0,11,4.787717,0.0
0.0,13,4.799227,0.0
0.0,13,4.810713,0.0
0.0,26,4.833488,0.0
0.0,19,4.85014,0.0
0.0,11,4.859915,0.0
0.0,29,4.885381,0.0
0.0,11,4.895097,0.0
0.0,17,4.910018,0.0
0.0,29,4.935523,0.0
0.0,15,4.948822,0.0
0.0,26,4.972013,0.0
0.0,41,5.008641,0.0
0.0,23,5.029246,0.0
0.0,20,5.047035,0.0
0.0,23,5.067549,0.0
0.0,12,5.078264,0.0
0.0,15,5.091802,0.0
0.0,19,5.108769,0.0
0.0,12,5.119514,0.0
0.0,14,5.132051,0.0
0.0,17,5.147262,0.0
0.0,9,5.155637,0.0
0.0,31,5.183596,0.0
0.0,22,5.203289,0.0
0.0,9,5.21141,0.0
0.0,14,5.223933,0.0
0.0,26,5.247116,0.0
0.0,11,5.256991,0.0
0.0,25,5.279318,0.0
0.0,22,5.299013,0.0
0.0,11,5.308861,0.0
0.0,16,5.323154,0.0
0.0,11,5.332989,0.0
0.0,34,5.363345,0.0
0.0,14,5.800787,0.0
0.0,14,5.813177,0.0
0.0,19,5.829935,0.0
0.0,26,5.852777,0.0
0.0,16,5.866905,0.0
0.0,10,5.875734,0.0
0.0,22,5.895262,0.0
0.0,47,5.93647,0.0
0.0,33,5.965917,0.0
0.0,40,6.001285,0.0
0.0,15,6.014878,0.0
0.0,38,6.048633,0.0
0.0,22,6.067962,0.0
0.0,15,6.08117,0.0
0.0,17,6.096208,0.0
0.0,22,6.115556,0.0
0.0,14,6.127861,0.0
0.0,18,6.143734,0.0
0.0,11,6.153449,0.0
0.0,43,6.191485,0.0
0.0,20,6.209105,0.0
0.0,18,6.22492,0.0
0.0,11,6.234632,0.0
0.0,16,6.248792,0.0
0.0,18,6.264646,0.0
0.0,19,6.281315,0.0
0.0,16,6.29558,0.0
0.0,26,6.318449,0.0
0.0,13,6.329908,0.0
0.0,19,6.346684,0.0
0.0,22,6.366066,0.0
0.0,42,6.402998,0.0
0.0,12,6.413554,0.0
0.0,21,6.432003,0.0
0.0,21,6.450488,0.0
0.0,34,6.480366,0.0
0.0,26,6.503331,0.0
0.0,17,6.518294,0.0
0.0,29,6.544127,0.0
0.0,17,6.559087,0.0
0.0,50,6.602984,0.0
0.0,16,6.617163,0.0
0.0,47,6.658367,0.0
0.0,24,6.67946,0.0
0.0,17,6.694504,0.0
0.0,23,6.714694,0.0
0.0,21,6.733184,0.0
0.0,22,6.752606,0.0
0.0,20,6.770529,0.0
0.0,58,6.82164,0.0
0.0,25,6.843575,0.0
0.0,14,6.855906,0.0
0.0,15,6.869094,0.0
0.0,15,6.882333,0.0
0.0,29,6.908239,0.0
0.0,10,6.917076,0.0
0.0,20,6.9347,0.0
0.0,58,6.985936,0.0
0.0,34,7.015885,0.0
0.0,11,7.026432,0.0
0.0,11,7.0377,0.0
0.0,44,7.077441,0.0
0.0,10,7.086397,0.0
0.0,16,7.100807,0.0
0.0,16,7.115077,0.0
0.0,30,7.141578,0.0
0.0,21,7.160132,0.0
0.0,18,7.176013,0.0
0.0,14,7.188371,0.0
0.0,38,7.221685,0.0
0.0,28,7.246368,0.0
0.0,22,7.26583,0.0
0.0,37,7.298536,0.0
0.0,14,7.310874,0.0
0.0,26,7.333768,0.0
0.0,85,7.408306,0.0
0.0,21,7.426827,0.0
0.0,24,7.447944,0.0
0.0,15,7.461179,0.0
0.0,15,7.474445,0.0
0.0,30,7.500843,0.0
0.0,10,7.509663,0.0
0.0,18,7.525451,0.0
0.0,46,7.566006,0.0
0.0,15,7.579329,0.0
0.0,21,7.59783,0.0
0.0,24,8.04497,0.0
0.0,12,8.0556,0.0
0.0,12,8.066241,0.0
3.0,69,8.126821,3.0
0.0,12,8.137391,0.0
0.0,19,8.154096,0.0
0.0,18,8.169932,0.0
0.0,23,8.190176,0.0
0.0,33,8.219201,0.0
0.0,29,8.244731,0.0
0.0,15,8.258101,0.0
0.0,12,8.26867,0.0
0.0,17,8.283624,0.0
0.0,15,8.296854,0.0
0.0,16,8.31093,0.0
0.0,15,8.324122,0.0
0.0,14,8.336425,0.0
0.0,29,8.36198,0.0
0.0,40,8.397145,0.0
0.0,25,8.419093,0.0
0.0,28,8.443678,0.0
0.0,9,8.451641,0.0
0.0,18,8.46746,0.0
0.0,65,8.524673,0.0
0.0,17,8.539729,0.0
0.0,11,8.549458,0.0
0.0,15,8.562721,0.0
0.0,20,8.580362,0.0
0.0,31,8.607738,0.0
0.0,42,8.644683,0.0
0.0,20,8.662281,0.0
0.0,38,8.695739,0.0
0.0,13,8.707227,0.0
0.0,13,8.718665,0.0
0.0,10,8.727476,0.0
0.0,14,8.739992,0.0
0.0,39,8.77457,0.0
0.0,39,8.808928,0.0
0.0,10,8.817767,0.0
0.0,38,8.851128,0.0
0.0,12,8.861942,0.0
0.0,20,8.879612,0.0
0.0,8,8.886756,0.0
0.0,13,8.898331,0.0
0.0,20,8.915963,0.0
0.0,11,8.925748,0.0
0.0,18,8.941685,0.0
0.0,46,8.982244,0.0
0.0,15,8.995721,0.0
0.0,22,9.015105,0.0
0.0,24,9.036253,0.0
0.0,20,9.053833,0.0
0.0,47,9.095632,0.0
0.0,21,9.114434,0.0
0.0,26,9.137658,0.0
0.0,23,9.1584,0.0
0.0,31,9.186147,0.0
0.0,16,9.200512,0.0
0.0,12,9.211277,0.0
0.0,16,9.225735,0.0
0.0,31,9.253484,0.0
0.0,24,9.274976,0.0
0.0,8,9.282189,0.0
0.0,15,9.295657,0.0
0.0,18,9.311755,0.0
0.0,17,9.326963,0.0
0.0,12,9.337722,0.0
0.0,15,9.351055,0.0
0.0,13,9.362559,0.0
0.0,12,9.373177,0.0
0.0,15,9.386563,0.0
0.0,9,9.394628,0.0
0.0,29,9.420305,0.0
0.0,10,9.429175,0.0
0.0,19,9.445972,0.0
0.0,78,9.514944,0.0
0.0,17,9.530035,0.0
0.0,9,9.537982,0.0
0.0,17,9.553061,0.0
0.0,15,9.566372,0.0
0.0,44,9.605532,0.0
0.0,11,9.615316,0.0
0.0,25,9.637462,0.0
0.0,18,9.65344,0.0
0.0,32,9.681664,0.0
0.0,25,9.703737,0.0
0.0,50,9.747981,0.0
0.0,43,9.785969,0.0
0.0,13,9.797575,0.0
0.0,11,9.807301,0.0
0.0,19,9.824264,0.0
0.0,14,9.836709,0.0
0.0,16,10.243783,0.0
0.0,10,10.252684,0.0
0.0,20,10.270383,0.0
0.0,14,10.282729,0.0
0.0,18,10.298706,0.0
0.0,11,10.308445,0.0
0.0,21,10.326882,0.0
0.0,12,10.337461,0.0
0.0,39,10.371968,0.0
0.0,27,10.395915,0.0
0.0,11,10.405719,0.0
0.0,12,10.41637,0.0
0.0,16,10.43054,0.0
0.0,36,10.462212,0.0
0.0,40,10.497458,0.0
0.0,15,10.510695,0.0
0.0,10,10.519645,0.0
0.0,34,10.549541,0.0
0.0,15,10.562762,0.0
0.0,20,10.5803,0.0
0.0,9,10.588266,0.0
0.0,33,10.617278,0.0
0.0,26,10.640058,0.0
0.0,12,10.650629,0.0
0.0,9,10.658572,0.0
0.0,12,10.669127,0.0
0.0,27,10.692935,0.0
0.0,20,10.710516,0.0
0.0,19,10.727211,0.0
0.0,10,10.736068,0.0
0.0,43,10.774414,0.0
0.0,40,10.809526,0.0
0.0,14,10.821846,0.0
0.0,33,10.850703,0.0
0.0,15,10.863941,0.0
0.0,13,10.875366,0.0
0.0,27,10.899118,0.0
0.0,31,10.926357,0.0
0.0,22,10.945656,0.0
0.0,20,10.963522,0.0
0.0,36,10.996728,0.0
0.0,12,11.007755,0.0
0.0,42,11.04611,0.0
0.0,11,11.056033,0.0
0.0,17,11.071315,0.0
0.0,13,11.08305,0.0
0.0,13,11.094822,0.0
0.0,14,11.107486,0.0
0.0,42,11.145388,0.0
0.0,32,11.174145,0.0
0.0,26,11.197505,0.0
0.0,25,11.220007,0.0
0.0,12,11.230855,0.0
0.0,34,11.261374,0.0
0.0,23,11.281971,0.0
0.0,27,11.306105,0.0
0.0,27,11.33027,0.0
0.0,12,11.341033,0.0
0.0,60,11.394647,0.0
0.0,15,11.407972,0.0
0.0,26,11.431086,0.0
0.0,22,11.450577,0.0
0.0,21,11.469111,0.0
0.0,32,11.497494,0.0
0.0,41,11.533742,0.0
0.0,11,11.543425,0.0
0.0,20,11.561468,0.0
0.0,47,11.603327,0.0
0.0,22,11.622884,0.0
0.0,12,11.633437,0.0
0.0,14,11.645753,0.0
0.0,13,11.657226,0.0
0.0,35,11.687898,0.0
0.0,46,11.728271,0.0
0.0,26,11.751189,0.0
0.0,19,11.767914,0.0
0.0,25,11.789883,0.0
0.0,22,11.809415,0.0
0.0,24,11.830516,0.0
0.0,19,11.847232,0.0
0.0,20,11.864833,0.0
0.0,23,11.885066,0.0
0.0,22,11.904467,0.0
0.0,44,11.942953,0.0
0.0,25,11.964918,0.0
0.0,13,11.97643,0.0
0.0,14,11.988812,0.0
0.0,11,11.99861,0.0
0.0,26,12.021391,0.0
0.0,16,12.035496,0.0
0.0,10,12.044286,0.0
0.0,18,12.463825,0.0
0.0,29,12.489377,0.0
0.0,13,12.500901,0.0
0.0,19,12.517608,0.0
0.0,9,12.52556,0.0
0.0,17,12.540553,0.0
0.0,25,12.562515,0.0
0.0,61,12.6161,0.0
0.0,10,12.624913,0.0
0.0,32,12.652951,0.0
0.0,25,12.674916,0.0
0.0,9,12.682851,0.0
0.0,22,12.702276,0.0
0.0,18,12.718102,0.0
0.0,13,12.729639,0.0
0.0,18,12.745527,0.0
0.0,13,12.757027,0.0
0.0,14,12.769447,0.0
0.0,17,12.784478,0.0
0.0,30,12.81088,0.0
0.0,10,12.819715,0.0
0.0,11,12.829425,0.0
0.0,16,12.843526,0.0
0.0,14,12.855857,0.0
0.0,16,12.86996,0.0
0.0,27,12.8937,0.0
0.0,62,12.948239,0.0
0.0,12,12.958943,0.0
0.0,16,12.973131,0.0
0.0,26,12.996151,0.0
0.0,52,13.041947,0.0
0.0,31,13.069216,0.0
0.0,26,13.092181,0.0
0.0,21,13.110718,0.0
0.0,10,13.119597,0.0
0.0,13,13.131146,0.0
