#{"t_start": 1752536160.0332599, "env_id": "SafeCartPole-v0"}
r,l,t,c
12.0,13,1.250679,12.0
12.0,12,1.261468,12.0
19.0,19,1.278371,19.0
16.0,16,1.292606,16.0
31.0,31,1.320108,31.0
39.0,39,1.354589,39.0
18.0,18,1.370528,18.0
30.0,30,1.39702,30.0
14.0,14,1.409384,14.0
40.0,40,1.444705,40.0
15.0,15,1.457858,15.0
54.0,75,1.524274,54.0
24.0,31,1.551754,24.0
8.0,12,1.562402,8.0
30.0,30,1.58901,30.0
22.0,28,1.615999,22.0
14.0,14,1.628414,14.0
10.0,10,1.637301,10.0
13.0,13,1.648826,13.0
13.0,13,1.660347,13.0
16.0,16,1.674534,16.0
8.0,10,1.683513,8.0
21.0,21,1.702107,21.0
13.0,14,1.714491,13.0
28.0,44,1.75314,28.0
11.0,11,1.762762,11.0
31.0,41,1.798551,31.0
10.0,10,1.80734,10.0
73.0,73,1.871653,73.0
19.0,30,1.897814,19.0
11.0,13,1.909234,11.0
32.0,32,1.937332,32.0
23.0,23,1.95737,23.0
45.0,45,1.996659,45.0
20.0,30,2.022919,20.0
17.0,19,2.039686,17.0
43.0,68,2.098812,43.0
27.0,27,2.12243,27.0
15.0,17,2.137342,15.0
22.0,22,2.15659,22.0
31.0,31,2.183563,31.0
22.0,25,2.205552,22.0
15.0,15,2.218667,15.0
30.0,30,2.244716,30.0
10.0,13,2.256022,10.0
12.0,15,2.269094,12.0
8.0,11,2.278722,8.0
11.0,15,2.291793,11.0
16.0,16,2.305709,16.0
43.0,43,2.343115,43.0
30.0,45,2.382081,30.0
27.0,29,2.407307,27.0
13.0,13,2.418715,13.0
21.0,27,2.442193,21.0
13.0,15,2.455242,13.0
11.0,13,2.466542,11.0
24.0,26,2.489073,24.0
13.0,13,2.500377,13.0
24.0,24,2.521437,24.0
26.0,26,2.544144,26.0
33.0,33,2.572857,33.0
24.0,25,2.594558,24.0
42.0,57,2.644188,42.0
40.0,40,2.678921,40.0
14.0,14,2.691108,14.0
10.0,15,2.704266,10.0
17.0,21,2.722622,17.0
12.0,13,2.733935,12.0
23.0,23,2.753932,23.0
26.0,26,2.77658,26.0
23.0,23,2.797044,23.0
26.0,26,2.820164,26.0
10.0,13,2.831676,10.0
13.0,13,2.843152,13.0
25.0,25,2.865045,25.0
13.0,19,2.881724,13.0
23.0,23,2.901929,23.0
8.0,10,2.910758,8.0
13.0,13,2.922241,13.0
23.0,25,2.9441,23.0
17.0,17,2.958969,17.0
13.0,13,2.97034,13.0
13.0,14,2.982615,13.0
9.0,10,2.991399,9.0
10.0,11,3.001012,10.0
19.0,19,3.017604,19.0
17.0,17,3.032526,17.0
23.0,25,3.527501,23.0
15.0,17,3.542421,15.0
44.0,44,3.580569,44.0
14.0,19,3.597129,14.0
10.0,10,3.605928,10.0
28.0,76,3.672073,28.0
14.0,21,3.690452,14.0
31.0,31,3.717465,31.0
60.0,60,3.769624,60.0
45.0,65,3.826113,45.0
22.0,34,3.855636,22.0
17.0,17,3.870436,17.0
9.0,9,3.878319,9.0
22.0,22,3.89753,22.0
21.0,21,3.915823,21.0
34.0,55,3.963566,34.0
27.0,27,3.987091,27.0
10.0,13,3.998443,10.0
17.0,17,4.013265,17.0
23.0,30,4.039518,23.0
12.0,17,4.054355,12.0
26.0,26,4.076995,26.0
26.0,26,4.099615,26.0
14.0,14,4.111809,14.0
52.0,52,4.157023,52.0
11.0,12,4.167525,11.0
18.0,24,4.188458,18.0
21.0,21,4.206978,21.0
25.0,25,4.228983,25.0
11.0,11,4.238635,11.0
7.0,10,4.247516,7.0
21.0,21,4.266004,21.0
16.0,22,4.285396,16.0
12.0,13,4.296929,12.0
13.0,15,4.310163,13.0
21.0,21,4.328728,21.0
27.0,38,4.362026,27.0
25.0,27,4.385634,25.0
9.0,11,4.395329,9.0
10.0,11,4.404999,10.0
19.0,19,4.421693,19.0
9.0,11,4.43138,9.0
24.0,24,4.452295,24.0
30.0,30,4.478443,30.0
27.0,27,4.501904,27.0
19.0,19,4.518491,19.0
22.0,22,4.53774,22.0
30.0,30,4.563843,30.0
38.0,38,4.596929,38.0
24.0,24,4.617821,24.0
9.0,10,4.626658,9.0
44.0,44,4.664892,44.0
34.0,53,4.71085,34.0
24.0,24,4.731785,24.0
16.0,16,4.74573,16.0
21.0,21,4.763956,21.0
17.0,17,4.778772,17.0
25.0,25,4.800546,25.0
10.0,17,4.815413,10.0
11.0,11,4.825195,11.0
14.0,18,4.841397,14.0
10.0,11,4.851201,10.0
51.0,51,4.896031,51.0
14.0,14,4.908396,14.0
12.0,12,4.919043,12.0
23.0,23,4.939317,23.0
8.0,11,4.949071,8.0
16.0,16,4.963133,16.0
26.0,26,4.985859,26.0
10.0,14,4.99813,10.0
20.0,25,5.020192,20.0
12.0,12,5.030885,12.0
18.0,18,5.046793,18.0
31.0,42,5.083429,31.0
17.0,17,5.098275,17.0
16.0,16,5.112283,16.0
13.0,14,5.124676,13.0
18.0,18,5.14044,18.0
13.0,17,5.155346,13.0
9.0,10,5.164146,9.0
40.0,40,5.199049,40.0
18.0,18,5.214808,18.0
17.0,17,5.229748,17.0
60.0,60,5.281993,60.0
12.0,12,5.292559,12.0
35.0,35,5.751061,35.0
19.0,19,5.767914,19.0
48.0,48,5.810309,48.0
11.0,12,5.820975,11.0
18.0,18,5.836757,18.0
40.0,40,5.872005,40.0
27.0,27,5.895786,27.0
15.0,15,5.908935,15.0
10.0,12,5.919533,10.0
34.0,34,5.949283,34.0
15.0,21,5.967606,15.0
23.0,23,5.98778,23.0
14.0,14,6.000067,14.0
41.0,41,6.035919,41.0
10.0,10,6.044746,10.0
23.0,23,6.064839,23.0
39.0,39,6.099718,39.0
21.0,21,6.118757,21.0
23.0,23,6.139647,23.0
10.0,10,6.148781,10.0
30.0,30,6.176141,30.0
18.0,18,6.192307,18.0
12.0,15,6.205903,12.0
29.0,29,6.231835,29.0
8.0,9,6.239866,8.0
40.0,74,6.305191,40.0
44.0,44,6.343912,44.0
53.0,53,6.390552,53.0
32.0,32,6.418814,32.0
8.0,9,6.426929,8.0
59.0,59,6.479017,59.0
15.0,15,6.492553,15.0
54.0,54,6.540531,54.0
11.0,11,6.550278,11.0
12.0,12,6.560923,12.0
22.0,22,6.580344,22.0
44.0,44,6.619559,44.0
26.0,26,6.642501,26.0
24.0,24,6.663643,24.0
16.0,28,6.688489,16.0
56.0,56,6.737877,56.0
39.0,39,6.772256,39.0
14.0,14,6.784625,14.0
14.0,21,6.80315,14.0
16.0,16,6.817309,16.0
28.0,28,6.842085,28.0
12.0,12,6.852726,12.0
20.0,20,6.870544,20.0
14.0,14,6.88318,14.0
75.0,75,6.94932,75.0
19.0,19,6.966066,19.0
30.0,33,6.995165,30.0
28.0,28,7.019862,28.0
48.0,48,7.062178,48.0
17.0,18,7.078069,17.0
17.0,19,7.09484,17.0
27.0,27,7.118726,27.0
19.0,19,7.135542,19.0
19.0,19,7.152349,19.0
29.0,29,7.177912,29.0
9.0,13,7.189255,9.0
30.0,54,7.236238,30.0
13.0,22,7.255341,13.0
31.0,31,7.282235,31.0
44.0,44,7.32044,44.0
15.0,17,7.335311,15.0
10.0,16,7.349234,10.0
13.0,13,7.360607,13.0
14.0,14,7.37282,14.0
9.0,9,7.380736,9.0
21.0,23,7.400726,21.0
11.0,19,7.417454,11.0
8.0,8,7.424659,8.0
17.0,17,7.439577,17.0
25.0,31,7.466474,25.0
13.0,13,7.477856,13.0
36.0,36,7.509326,36.0
21.0,21,7.527793,21.0
26.0,26,7.968786,26.0
23.0,27,7.992261,23.0
24.0,24,8.013096,24.0
19.0,19,8.029747,19.0
40.0,40,8.064562,40.0
30.0,34,8.094054,30.0
14.0,14,8.106272,14.0
11.0,18,8.12196,11.0
31.0,37,8.154091,31.0
19.0,19,8.170644,19.0
49.0,49,8.213467,49.0
7.0,11,8.223436,7.0
81.0,81,8.293696,81.0
15.0,19,8.310202,15.0
27.0,27,8.333679,27.0
68.0,68,8.39271,68.0
19.0,19,8.409382,19.0
27.0,27,8.432996,27.0
44.0,44,8.471229,44.0
15.0,15,8.484343,15.0
16.0,16,8.498283,16.0
17.0,17,8.513065,17.0
12.0,12,8.523541,12.0
51.0,51,8.567789,51.0
32.0,42,8.604189,32.0
26.0,26,8.626852,26.0
21.0,30,8.652877,21.0
12.0,12,8.66336,12.0
11.0,11,8.672962,11.0
32.0,32,8.700806,32.0
23.0,23,8.720842,23.0
21.0,61,8.773819,21.0
14.0,14,8.786065,14.0
21.0,21,8.804316,21.0
30.0,30,8.83049,30.0
15.0,15,8.843587,15.0
19.0,19,8.860155,19.0
15.0,15,8.873216,15.0
18.0,18,8.888844,18.0
14.0,14,8.901071,14.0
22.0,22,8.920551,22.0
27.0,27,8.944541,27.0
18.0,18,8.960407,18.0
15.0,15,8.973619,15.0
13.0,16,8.987682,13.0
15.0,15,9.000906,15.0
15.0,15,9.014134,15.0
13.0,19,9.03107,13.0
10.0,12,9.041694,10.0
11.0,11,9.051375,11.0
26.0,26,9.074044,26.0
40.0,40,9.108951,40.0
57.0,57,9.158805,57.0
25.0,25,9.18066,25.0
11.0,14,9.192945,11.0
25.0,25,9.214811,25.0
22.0,22,9.233991,22.0
9.0,9,9.241854,9.0
60.0,73,9.305084,60.0
13.0,13,9.316481,13.0
17.0,22,9.335672,17.0
32.0,32,9.363492,32.0
45.0,70,9.424233,45.0
100.0,100,9.511125,100.0
16.0,16,9.525135,16.0
25.0,51,9.569382,25.0
34.0,34,9.598809,34.0
33.0,33,9.627398,33.0
17.0,17,9.642177,17.0
19.0,19,9.65873,19.0
24.0,24,9.679595,24.0
8.0,19,9.696051,8.0
19.0,31,9.722947,19.0
35.0,35,10.171128,35.0
17.0,17,10.18601,17.0
122.0,122,10.29518,122.0
24.0,26,10.317888,24.0
7.0,9,10.32586,7.0
12.0,26,10.34871,12.0
31.0,31,10.375744,31.0
13.0,13,10.387094,13.0
15.0,15,10.400246,15.0
41.0,41,10.436079,41.0
30.0,30,10.462125,30.0
23.0,23,10.482102,23.0
26.0,34,10.511573,26.0
25.0,25,10.53336,25.0
46.0,46,10.573489,46.0
29.0,29,10.598757,29.0
22.0,22,10.618029,22.0
74.0,74,10.682284,74.0
31.0,31,10.70923,31.0
27.0,27,10.732721,27.0
45.0,49,10.775287,45.0
73.0,87,10.850868,73.0
30.0,30,10.877069,30.0
37.0,40,10.912012,37.0
18.0,18,10.927796,18.0
22.0,22,10.94708,22.0
15.0,19,10.9639,15.0
18.0,18,10.97986,18.0
37.0,37,11.014511,37.0
41.0,44,11.053417,41.0
27.0,27,11.077404,27.0
42.0,44,11.116124,42.0
31.0,51,11.160824,31.0
14.0,14,11.173157,14.0
34.0,34,11.202871,34.0
26.0,26,11.225507,26.0
35.0,35,11.255954,35.0
60.0,60,11.307983,60.0
18.0,18,11.323668,18.0
22.0,22,11.342893,22.0
48.0,48,11.384757,48.0
17.0,17,11.399577,17.0
23.0,23,11.419878,23.0
65.0,65,11.476435,65.0
10.0,16,11.490522,10.0
26.0,26,11.513623,26.0
30.0,35,11.544397,30.0
48.0,48,11.586593,48.0
20.0,20,11.604076,20.0
15.0,15,11.617212,15.0
13.0,13,11.628623,13.0
40.0,40,11.663831,40.0
23.0,23,11.684073,23.0
32.0,32,11.712095,32.0
13.0,13,11.723504,13.0
34.0,45,11.762809,34.0
18.0,18,11.77849,18.0
29.0,44,11.816942,29.0
37.0,72,11.87964,37.0
42.0,48,11.921376,42.0
24.0,24,11.94238,24.0
93.0,101,12.450747,93.0
28.0,28,12.475046,28.0
42.0,42,12.511762,42.0
31.0,31,12.538866,31.0
16.0,16,12.55286,16.0
33.0,39,12.586727,33.0
9.0,9,12.594621,9.0
17.0,17,12.609398,17.0
40.0,40,12.644068,40.0
34.0,55,12.691879,34.0
