#{"t_start": 1752534235.9519906, "env_id": "SafeCartPole-v0"}
r,l,t,c
16.0,16,0.019649,0.0
20.0,20,0.037398,0.0
10.0,10,0.046333,0.0
21.0,21,0.065013,0.0
39.0,39,0.099624,0.0
19.0,19,0.11648,0.0
32.0,32,0.144986,0.0
11.0,11,0.154799,0.0
37.0,37,0.187453,0.0
18.0,18,0.203413,0.0
17.0,17,0.218488,0.0
15.0,15,0.231817,0.0
27.0,27,0.255651,0.0
67.0,67,0.315068,0.0
24.0,24,0.336221,0.0
18.0,18,0.352073,0.0
36.0,36,0.383847,0.0
25.0,25,0.405974,0.0
25.0,25,0.428092,0.0
13.0,13,0.439595,0.0
11.0,11,0.449341,0.0
11.0,11,0.459082,0.0
27.0,27,0.482903,0.0
20.0,20,0.50057,0.0
14.0,14,0.512987,0.0
17.0,17,0.528106,0.0
30.0,30,0.554612,0.0
12.0,12,0.565244,0.0
13.0,13,0.57675,0.0
12.0,12,0.587347,0.0
19.0,19,0.604141,0.0
13.0,13,0.615644,0.0
12.0,12,0.626263,0.0
19.0,19,0.643046,0.0
25.0,25,0.665007,0.0
15.0,15,0.67811,0.0
11.0,11,0.687737,0.0
14.0,14,0.699994,0.0
16.0,16,0.713982,0.0
22.0,22,0.733266,0.0
16.0,16,0.747282,0.0
28.0,28,0.771829,0.0
17.0,17,0.786548,0.0
17.0,17,0.801295,0.0
33.0,33,0.829886,0.0
13.0,13,0.841198,0.0
35.0,35,0.871463,0.0
22.0,22,0.890495,0.0
13.0,13,0.901811,0.0
17.0,17,0.916678,0.0
13.0,13,0.927998,0.0
23.0,23,0.947917,0.0
23.0,23,0.967803,0.0
19.0,19,0.984259,0.0
13.0,13,0.995574,0.0
9.0,9,1.003417,0.0
58.0,58,1.053655,0.0
13.0,13,1.064963,0.0
21.0,21,1.08319,0.0
18.0,18,1.098883,0.0
14.0,14,1.111051,0.0
34.0,34,1.140516,0.0
23.0,23,1.160727,0.0
16.0,16,1.174694,0.0
45.0,45,1.2139,0.0
18.0,18,1.229568,0.0
22.0,22,1.248579,0.0
38.0,38,1.281621,0.0
13.0,13,1.292955,0.0
18.0,18,1.308533,0.0
31.0,31,1.335667,0.0
12.0,12,1.346088,0.0
85.0,85,1.419622,0.0
32.0,32,1.447295,0.0
17.0,17,1.46203,0.0
11.0,11,1.471617,0.0
22.0,22,1.490707,0.0
20.0,20,1.508049,0.0
14.0,14,1.520369,0.0
37.0,37,1.552355,0.0
39.0,39,1.586012,0.0
13.0,13,1.597279,0.0
15.0,15,1.610278,0.0
14.0,14,1.622408,0.0
19.0,19,1.638855,0.0
20.0,20,1.656222,0.0
22.0,22,1.675309,0.0
75.0,75,1.740218,0.0
20.0,20,1.757734,0.0
36.0,36,1.789875,0.0
18.0,18,2.215484,0.0
19.0,19,2.232301,0.0
21.0,21,2.251024,0.0
21.0,21,2.269745,0.0
23.0,23,2.290082,0.0
40.0,40,2.32532,0.0
20.0,20,2.342982,0.0
47.0,47,2.384331,0.0
42.0,42,2.421257,0.0
21.0,21,2.43979,0.0
41.0,41,2.475994,0.0
23.0,23,2.496268,0.0
25.0,25,2.518286,0.0
46.0,46,2.55878,0.0
33.0,33,2.587437,0.0
28.0,28,2.611567,0.0
17.0,17,2.626259,0.0
41.0,41,2.661607,0.0
65.0,65,2.718292,0.0
59.0,59,2.769245,0.0
101.0,101,2.856327,0.0
115.0,115,2.955688,0.0
30.0,30,2.981633,0.0
66.0,66,3.038472,0.0
12.0,12,3.048878,0.0
27.0,27,3.072258,0.0
24.0,24,3.093038,0.0
38.0,38,3.125931,0.0
26.0,26,3.148428,0.0
24.0,24,3.169246,0.0
20.0,20,3.186667,0.0
10.0,10,3.195373,0.0
42.0,42,3.231591,0.0
157.0,157,3.367364,5.0
19.0,19,3.383854,0.0
36.0,36,3.415043,0.0
52.0,52,3.459975,0.0
53.0,53,3.505651,0.0
32.0,32,3.533315,0.0
26.0,26,3.555855,0.0
18.0,18,3.571451,0.0
46.0,46,3.611146,0.0
50.0,50,3.654309,0.0
33.0,33,3.682899,0.0
73.0,73,3.745773,0.0
55.0,55,3.793304,0.0
67.0,67,3.851122,0.0
39.0,39,3.884773,0.0
91.0,91,3.963427,0.0
45.0,45,4.411107,0.0
118.0,118,4.513872,36.0
47.0,47,4.554772,0.0
44.0,44,4.59308,0.0
153.0,153,4.725953,0.0
52.0,52,4.771371,0.0
32.0,32,4.79914,0.0
163.0,163,4.940535,30.0
96.0,96,5.023409,0.0
170.0,170,5.171499,0.0
148.0,148,5.299726,0.0
61.0,61,5.352556,0.0
71.0,71,5.414006,0.0
60.0,60,5.465896,0.0
60.0,60,5.51767,0.0
120.0,120,5.62132,0.0
131.0,131,5.734481,29.0
65.0,65,5.790758,0.0
33.0,33,5.819233,0.0
17.0,17,5.833929,0.0
37.0,37,5.865832,0.0
32.0,32,5.89355,0.0
104.0,104,5.984056,0.0
139.0,139,6.10437,0.0
200.0,200,6.69128,41.0
150.0,150,6.822037,0.0
150.0,150,6.951974,0.0
194.0,194,7.119868,28.0
200.0,200,7.292867,0.0
109.0,109,7.387707,0.0
123.0,123,7.494429,0.0
77.0,77,7.561135,7.0
200.0,200,7.73412,62.0
197.0,197,7.904585,0.0
200.0,200,8.0775,41.0
101.0,101,8.164981,0.0
117.0,117,8.265928,27.0
33.0,33,8.294554,0.0
110.0,110,8.805702,25.0
72.0,72,8.868356,0.0
200.0,200,9.041976,42.0
200.0,200,9.214793,0.0
160.0,160,9.353483,48.0
128.0,128,9.464054,0.0
200.0,200,9.636801,0.0
172.0,172,9.78612,42.0
200.0,200,9.959008,18.0
200.0,200,10.132382,0.0
200.0,200,10.306732,0.0
113.0,113,10.405315,0.0
114.0,114,10.505943,0.0
115.0,115,11.025075,30.0
200.0,200,11.199457,24.0
200.0,200,11.373791,16.0
114.0,114,11.47313,0.0
166.0,166,11.617882,70.0
142.0,142,11.741043,36.0
200.0,200,11.914118,0.0
200.0,200,12.087561,0.0
172.0,172,12.236595,0.0
200.0,200,12.409699,0.0
200.0,200,12.585152,0.0
200.0,200,13.175361,0.0
200.0,200,13.348689,0.0
195.0,195,13.517206,37.0
200.0,200,13.689677,0.0
200.0,200,13.863066,41.0
200.0,200,14.03648,0.0
200.0,200,14.209496,0.0
180.0,180,14.3652,0.0
200.0,200,14.538598,59.0
200.0,200,14.714874,0.0
200.0,200,14.890189,0.0
183.0,183,15.464746,0.0
182.0,182,15.62274,25.0
200.0,200,15.796031,0.0
171.0,171,15.944037,29.0
200.0,200,16.11668,59.0
199.0,199,16.289177,24.0
144.0,144,16.413612,0.0
150.0,150,16.543343,0.0
172.0,172,16.693928,21.0
179.0,179,16.84948,15.0
143.0,143,16.973555,20.0
200.0,200,17.559474,0.0
200.0,200,17.732651,0.0
200.0,200,17.907412,0.0
200.0,200,18.084901,0.0
147.0,147,18.21491,0.0
200.0,200,18.391862,76.0
200.0,200,18.56852,0.0
200.0,200,18.745528,0.0
150.0,150,18.87801,0.0
200.0,200,19.053213,0.0
200.0,200,19.227056,54.0
200.0,200,19.814071,0.0
200.0,200,19.987117,0.0
200.0,200,20.161354,0.0
200.0,200,20.343107,0.0
200.0,200,20.524328,0.0
200.0,200,20.705315,0.0
200.0,200,20.887856,43.0
200.0,200,21.068763,0.0
200.0,200,21.252357,0.0
200.0,200,21.430902,0.0
200.0,200,22.017211,0.0
200.0,200,22.19065,62.0
200.0,200,22.36375,0.0
200.0,200,22.536947,0.0
191.0,191,22.702712,72.0
200.0,200,22.876833,0.0
200.0,200,23.050908,29.0
200.0,200,23.224769,84.0
176.0,176,23.377084,78.0
200.0,200,23.549871,0.0
200.0,200,23.722789,0.0
191.0,191,24.30108,34.0
147.0,147,24.428443,55.0
200.0,200,24.601354,0.0
200.0,200,24.775725,3.0
200.0,200,24.951296,0.0
199.0,199,25.124026,45.0
200.0,200,25.298259,52.0
200.0,200,25.472093,60.0
180.0,180,25.627852,39.0
200.0,200,25.800502,4.0
200.0,200,26.390288,1.0
200.0,200,26.569873,0.0
200.0,200,26.746243,0.0
200.0,200,26.923049,0.0
200.0,200,27.099659,13.0
200.0,200,27.275369,0.0
200.0,200,27.449655,0.0
200.0,200,27.623019,41.0
200.0,200,27.796648,0.0
200.0,200,27.969625,92.0
200.0,200,28.142667,0.0
200.0,200,28.731181,31.0
174.0,174,28.883285,24.0
200.0,200,29.058282,0.0
200.0,200,29.232471,6.0
200.0,200,29.407412,68.0
200.0,200,29.583721,0.0
198.0,198,29.755654,33.0
171.0,171,29.903694,36.0
200.0,200,30.076704,18.0
175.0,175,30.229807,42.0
114.0,114,30.329139,28.0
195.0,195,30.917847,47.0
133.0,133,31.034938,35.0
200.0,200,31.210907,0.0
200.0,200,31.38714,0.0
181.0,181,31.546654,55.0
134.0,134,31.663316,32.0
161.0,161,31.802665,30.0
145.0,145,31.927474,32.0
138.0,138,32.046597,41.0
121.0,121,32.151174,33.0
200.0,200,32.324028,26.0
200.0,200,32.496949,30.0
200.0,200,33.088158,0.0
105.0,105,33.181454,21.0
200.0,200,33.357016,80.0
200.0,200,33.532327,0.0
200.0,200,33.705748,0.0
200.0,200,33.879261,50.0
156.0,156,34.014154,41.0
120.0,120,34.117512,18.0
190.0,190,34.281435,0.0
151.0,151,34.411833,33.0
200.0,200,34.584354,0.0
200.0,200,34.758031,0.0
143.0,143,35.303694,38.0
200.0,200,35.479713,0.0
200.0,200,35.656496,0.0
162.0,162,35.798512,50.0
200.0,200,35.971625,25.0
200.0,200,36.144214,0.0
200.0,200,36.317731,0.0
126.0,126,36.426898,24.0
200.0,200,36.599571,0.0
200.0,200,36.772145,0.0
200.0,200,36.944862,0.0
200.0,200,37.535535,81.0
200.0,200,37.708865,0.0
200.0,200,37.881343,52.0
200.0,200,38.054147,0.0
200.0,200,38.226958,0.0
200.0,200,38.399846,0.0
200.0,200,38.572506,93.0
168.0,168,38.717519,14.0
111.0,111,38.813073,30.0
200.0,200,38.985477,0.0
200.0,200,39.16084,0.0
200.0,200,39.753173,0.0
156.0,156,39.888835,32.0
135.0,135,40.005381,33.0
200.0,200,40.178528,0.0
182.0,182,40.337234,35.0
172.0,172,40.486457,35.0
200.0,200,40.659274,0.0
200.0,200,40.831975,0.0
200.0,200,41.004738,53.0
200.0,200,41.179407,0.0
145.0,145,41.306503,43.0
121.0,121,41.82708,0.0
121.0,121,41.932057,0.0
90.0,90,42.009987,0.0
92.0,92,42.089397,0.0
54.0,54,42.136064,0.0
77.0,77,42.202564,0.0
107.0,107,42.295163,0.0
80.0,80,42.364392,0.0
75.0,75,42.429086,0.0
111.0,111,42.525023,0.0
114.0,114,42.623672,0.0
79.0,79,42.691932,0.0
53.0,53,42.738022,0.0
64.0,64,42.793265,0.0
46.0,46,42.832981,0.0
81.0,81,42.902775,0.0
135.0,135,43.019445,0.0
77.0,77,43.085876,0.0
65.0,65,43.142669,0.0
72.0,72,43.205945,0.0
103.0,103,43.296524,0.0
86.0,86,43.371724,0.0
91.0,91,43.451095,0.0
66.0,66,43.508405,0.0
199.0,199,44.096128,0.0
123.0,123,44.202465,28.0
158.0,158,44.339048,0.0
150.0,150,44.468609,26.0
97.0,97,44.55235,17.0
200.0,200,44.72472,29.0
143.0,143,44.848509,15.0
200.0,200,45.02126,0.0
91.0,91,45.100322,0.0
108.0,108,45.194938,29.0
168.0,168,45.342892,17.0
197.0,197,45.516208,6.0
160.0,160,45.655953,18.0
195.0,195,46.245077,48.0
200.0,200,46.418585,0.0
200.0,200,46.592185,0.0
196.0,196,46.761798,89.0
200.0,200,46.934099,0.0
200.0,200,47.106834,0.0
195.0,195,47.277341,61.0
196.0,196,47.450008,56.0
200.0,200,47.625614,30.0
154.0,154,47.759137,43.0
149.0,149,47.88775,46.0
177.0,177,48.454061,36.0
200.0,200,48.626524,50.0
200.0,200,48.799344,0.0
200.0,200,48.972377,0.0
200.0,200,49.145474,0.0
200.0,200,49.320717,0.0
200.0,200,49.496877,0.0
200.0,200,49.672971,9.0
200.0,200,49.846416,0.0
200.0,200,50.020693,48.0
200.0,200,50.611152,20.0
200.0,200,50.785643,0.0
200.0,200,50.958522,0.0
189.0,189,51.12201,58.0
200.0,200,51.295074,0.0
200.0,200,51.470263,39.0
200.0,200,51.64425,41.0
195.0,195,51.813718,52.0
200.0,200,51.986885,19.0
181.0,181,52.143413,51.0
200.0,200,52.316089,35.0
177.0,177,52.882846,45.0
176.0,176,53.034834,47.0
200.0,200,53.207454,0.0
171.0,171,53.356168,26.0
200.0,200,53.532202,59.0
157.0,157,53.669156,35.0
200.0,200,53.842156,0.0
183.0,183,54.000818,33.0
200.0,200,54.17366,0.0
200.0,200,54.346799,0.0
174.0,174,54.497638,30.0
200.0,200,55.079521,34.0
200.0,200,55.253361,0.0
200.0,200,55.427652,0.0
200.0,200,55.604391,0.0
200.0,200,55.778704,0.0
200.0,200,55.951523,12.0
200.0,200,56.124481,0.0
200.0,200,56.297922,5.0
200.0,200,56.470875,0.0
200.0,200,56.643579,0.0
200.0,200,57.230261,0.0
200.0,200,57.403423,10.0
200.0,200,57.579429,0.0
200.0,200,57.75377,0.0
200.0,200,57.927123,33.0
200.0,200,58.100326,0.0
200.0,200,58.273609,89.0
200.0,200,58.446751,0.0
185.0,185,58.606558,36.0
200.0,200,58.778893,0.0
179.0,179,59.347835,67.0
200.0,200,59.522712,0.0
200.0,200,59.699279,24.0
200.0,200,59.874272,0.0
188.0,188,60.037353,35.0
150.0,150,60.167226,32.0
200.0,200,60.341702,24.0
200.0,200,60.515719,0.0
200.0,200,60.689076,0.0
200.0,200,60.862312,0.0
200.0,200,61.035462,1.0
200.0,200,61.625224,0.0
200.0,200,61.800359,0.0
200.0,200,61.973754,0.0
200.0,200,62.147034,10.0
200.0,200,62.320136,0.0
200.0,200,62.493107,0.0
200.0,200,62.666081,0.0
200.0,200,62.839858,0.0
200.0,200,63.013163,0.0
200.0,200,63.186251,0.0
